region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 62 - Boac, Marinduque is composed of the following Municipalities:",,,3RD,MARINDUQUE,BOAC,AGOT,ALL LOTS,PROVINCIAL ROAD,RR,Residential - Regular,1010.0
raw,"RDO No. 62 - Boac, Marinduque is composed of the following Municipalities:",,,3RD,MARINDUQUE,BOAC,AGOT,ALL LOTS,BARANGAY ROAD,RR,Residential - Regular,630.0
raw,"RDO No. 62 - Boac, Marinduque is composed of the following Municipalities:",,,3RD,MARINDUQUE,BOAC,AGOT,ALL LOTS,INTERIOR,RR,Residential - Regular,450.0
raw,"RDO No. 62 - Boac, Marinduque is composed of the following Municipalities:",,,3RD,MARINDUQUE,BOAC,AGOT,ALL LOTS,INTERIOR,GP,General Purpose,300.0
raw,"RDO No. 62 - Boac, Marinduque is composed of the following Municipalities:",,,3RD,MARINDUQUE,BOAC,AGOT,ALL LOTS,INTERIOR,A2,Agricultural - A2,54.0
raw,"RDO No. 62 - Boac, Marinduque is composed of the following Municipalities:",,,3RD,MARINDUQUE,BOAC,AGOT,ALL LOTS,INTERIOR,A3,Agricultural - A3,20.0
raw,"RDO No. 62 - Boac, Marinduque is composed of the following Municipalities:",,,3RD,MARINDUQUE,BOAC,AGOT,ALL LOTS,INTERIOR,A4,Agricultural - A4,61.0
raw,"RDO No. 62 - Boac, Marinduque is composed of the following Municipalities:",,,3RD,MARINDUQUE,BOAC,AGOT,ALL LOTS,INTERIOR,A8,Agricultural - A8,34.0
raw,"RDO No. 62 - Boac, Marinduque is composed of the following Municipalities:",,,3RD,MARINDUQUE,BOAC,AGOT,ALL LOTS,INTERIOR,A10,Agricultural - A10,20.0
raw,"RDO No. 62 - Boac, Marinduque is composed of the following Municipalities:",,,3RD,MARINDUQUE,BOAC,AGOT,ALL LOTS,INTERIOR,A12,Agricultural - A12,34.0
raw,"RDO No. 62 - Boac, Marinduque is composed of the following Municipalities:",,,,MARINDUQUE,BOAC,AGOT,ALL LOTS,BARANGAY ROAD,RR,Residential - Regular,103.0
raw,"RDO No. 62 - Boac, Marinduque is composed of the following Municipalities:",,,,MARINDUQUE,BOAC,AGOT,ALL LOTS,BARANGAY ROAD,A1,Agricultural - A1,6.0
raw,"RDO No. 62 - Boac, Marinduque is composed of the following Municipalities:",,,,MARINDUQUE,BOAC,AGOT,ALL LOTS,BARANGAY ROAD,A2,Agricultural - A2,9.0
raw,"RDO No. 62 - Boac, Marinduque is composed of the following Municipalities:",,,,MARINDUQUE,BOAC,AGOT,ALL LOTS,BARANGAY ROAD,RR,Residential - Regular,90.0
raw,"RDO No. 62 - Boac, Marinduque is composed of the following Municipalities:",,,,MARINDUQUE,BOAC,AGOT,ALL LOTS,BARANGAY ROAD,A1,Agricultural - A1,4.0
raw,"RDO No. 62 - Boac, Marinduque is composed of the following Municipalities:",,,,MARINDUQUE,BOAC,AGOT,ALL LOTS,BARANGAY ROAD,A2,Agricultural - A2,6.0
raw,"RDO No. 62 - Boac, Marinduque is composed of the following Municipalities:",,,3RD,MARINDUQUE,BOAC,AGUMAYMAYAN,ALL LOTS,ALONG THE ROAD,RR,Residential - Regular,460.0
raw,"RDO No. 62 - Boac, Marinduque is composed of the following Municipalities:",,,3RD,MARINDUQUE,BOAC,AGUMAYMAYAN,ALL LOTS,INTERIOR,RR,Residential - Regular,350.0
raw,"RDO No. 62 - Boac, Marinduque is composed of the following Municipalities:",,,3RD,MARINDUQUE,BOAC,AGUMAYMAYAN,ALL LOTS,MOUNTAINOUS,RR,Residential - Regular,270.0
