region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 63 - Calapan City, Oriental Mindoro is composed of the following C",,,,: ORIENTAL MINDORO,BACO,ALAG,ALONG THE HIGHWAY,,RR,Residential - Regular,600.0
raw,"RDO No. 63 - Calapan City, Oriental Mindoro is composed of the following C",,,,: ORIENTAL MINDORO,BACO,ALAG,ALONG THE HIGHWAY,INTERIOR,RR,Residential - Regular,400.0
raw,"RDO No. 63 - Calapan City, Oriental Mindoro is composed of the following C",,,,: ORIENTAL MINDORO,BACO,ALAG,ALONG THE HIGHWAY,INTERIOR,A1,Agricultural - A1,55.0
raw,"RDO No. 63 - Calapan City, Oriental Mindoro is composed of the following C",,,,: ORIENTAL MINDORO,BACO,ALAG,ALONG THE HIGHWAY,INTERIOR,A2,Agricultural - A2,50.0
raw,"RDO No. 63 - Calapan City, Oriental Mindoro is composed of the following C",,,,: ORIENTAL MINDORO,BACO,ALAG,ALONG THE HIGHWAY,INTERIOR,A3,Agricultural - A3,30.0
raw,"RDO No. 63 - Calapan City, Oriental Mindoro is composed of the following C",,,,: ORIENTAL MINDORO,BACO,ALAG,ALONG THE HIGHWAY,INTERIOR,A4,Agricultural - A4,50.0
raw,"RDO No. 63 - Calapan City, Oriental Mindoro is composed of the following C",,,,: ORIENTAL MINDORO,BACO,ALAG,ALONG THE HIGHWAY,INTERIOR,A5,Agricultural - A5,50.0
raw,"RDO No. 63 - Calapan City, Oriental Mindoro is composed of the following C",,,,: ORIENTAL MINDORO,BACO,ALAG,ALONG THE HIGHWAY,INTERIOR,A7,Agricultural - A7,20.0
raw,"RDO No. 63 - Calapan City, Oriental Mindoro is composed of the following C",,,,: ORIENTAL MINDORO,BACO,ALAG,ALONG THE HIGHWAY,INTERIOR,A10,Agricultural - A10,25.0
raw,"RDO No. 63 - Calapan City, Oriental Mindoro is composed of the following C",,,,: ORIENTAL MINDORO,BACO,ALAG,ALONG THE HIGHWAY,INTERIOR,A16,Agricultural - A16,40.0
raw,"RDO No. 63 - Calapan City, Oriental Mindoro is composed of the following C",,,,: ORIENTAL MINDORO,BACO,ALAG,ALONG THE HIGHWAY,INTERIOR,A50,Agricultural - A50,20.0
raw,"RDO No. 63 - Calapan City, Oriental Mindoro is composed of the following C",,,,,BACO,ALAG,ALONG THE HIGHWAY,,RR,Residential - Regular,120.0
raw,"RDO No. 63 - Calapan City, Oriental Mindoro is composed of the following C",,,,,BACO,ALAG,ALONG THE HIGHWAY,INTERIOR,RR,Residential - Regular,100.0
raw,"RDO No. 63 - Calapan City, Oriental Mindoro is composed of the following C",,,,,BACO,ALAG,ALONG THE HIGHWAY,INTERIOR,A1,Agricultural - A1,11.5
raw,"RDO No. 63 - Calapan City, Oriental Mindoro is composed of the following C",,,,,BACO,ALAG,ALONG THE HIGHWAY,INTERIOR,A2,Agricultural - A2,9.0
raw,"RDO No. 63 - Calapan City, Oriental Mindoro is composed of the following C",,,,,BACO,ALAG,ALONG THE HIGHWAY,INTERIOR,A3,Agricultural - A3,6.5
raw,"RDO No. 63 - Calapan City, Oriental Mindoro is composed of the following C",,,,,BACO,ALAG,ALONG THE HIGHWAY,INTERIOR,A4,Agricultural - A4,5.5
raw,"RDO No. 63 - Calapan City, Oriental Mindoro is composed of the following C",,,,,BACO,ALAG,ALONG THE HIGHWAY,INTERIOR,A5,Agricultural - A5,11.0
raw,"RDO No. 63 - Calapan City, Oriental Mindoro is composed of the following C",,,,,BACO,ALAG,ALONG THE HIGHWAY,INTERIOR,A7,Agricultural - A7,4.0
raw,"RDO No. 63 - Calapan City, Oriental Mindoro is composed of the following C",,,,,BACO,ALAG,ALONG THE HIGHWAY,INTERIOR,A10,Agricultural - A10,3.0
raw,"RDO No. 63 - Calapan City, Oriental Mindoro is composed of the following C",,,,,BACO,ALAG,ALONG THE HIGHWAY,INTERIOR,A16,Agricultural - A16,4.5
raw,"RDO No. 63 - Calapan City, Oriental Mindoro is composed of the following C",,,,,BACO,ALAG,ALONG THE HIGHWAY,INTERIOR,A50,Agricultural - A50,6.5
raw,"RDO No. 63 - Calapan City, Oriental Mindoro is composed of the following C",,,,,BACO,ALAG,ALONG THE HIGHWAY,,RR,Residential - Regular,95.0
raw,"RDO No. 63 - Calapan City, Oriental Mindoro is composed of the following C",,,,,BACO,ALAG,ALONG THE HIGHWAY,INTERIOR,RR,Residential - Regular,75.0
raw,"RDO No. 63 - Calapan City, Oriental Mindoro is composed of the following C",,,,,BACO,ALAG,ALONG THE HIGHWAY,INTERIOR,A1,Agricultural - A1,9.0
raw,"RDO No. 63 - Calapan City, Oriental Mindoro is composed of the following C",,,,,BACO,ALAG,ALONG THE HIGHWAY,INTERIOR,A2,Agricultural - A2,7.0
raw,"RDO No. 63 - Calapan City, Oriental Mindoro is composed of the following C",,,,,BACO,ALAG,ALONG THE HIGHWAY,INTERIOR,A3,Agricultural - A3,4.0
raw,"RDO No. 63 - Calapan City, Oriental Mindoro is composed of the following C",,,,,BACO,ALAG,ALONG THE HIGHWAY,INTERIOR,A4,Agricultural - A4,4.0
raw,"RDO No. 63 - Calapan City, Oriental Mindoro is composed of the following C",,,,,BACO,ALAG,ALONG THE HIGHWAY,INTERIOR,A5,Agricultural - A5,9.0
raw,"RDO No. 63 - Calapan City, Oriental Mindoro is composed of the following C",,,,,BACO,ALAG,ALONG THE HIGHWAY,INTERIOR,A7,Agricultural - A7,1.75
raw,"RDO No. 63 - Calapan City, Oriental Mindoro is composed of the following C",,,,,BACO,ALAG,ALONG THE HIGHWAY,INTERIOR,A10,Agricultural - A10,1.75
raw,"RDO No. 63 - Calapan City, Oriental Mindoro is composed of the following C",,,,,BACO,ALAG,ALONG THE HIGHWAY,INTERIOR,A16,Agricultural - A16,3.5
raw,"RDO No. 63 - Calapan City, Oriental Mindoro is composed of the following C",,,,,BACO,ALAG,ALONG THE HIGHWAY,INTERIOR,A50,Agricultural - A50,5.0
raw,"RDO No. 63 - Calapan City, Oriental Mindoro is composed of the following C",,,,: ORIENTAL MINDORO,BACO,BANGKATAN,ALL STREETS,ALONG BARANGAY ROAD,RR,Residential - Regular,275.0
