region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 64 - Talisay, Camarines Norte is composed of the following City an",,3/5/2020,3RD,CAMARINES NORTE,BASUD,(FORMERLY NATIONAL HIGHWAY),,ALONG BARANGAY ROAD,X,Special / Other,1500.0
raw,"RDO No. 64 - Talisay, Camarines Norte is composed of the following City an",,3/5/2020,3RD,CAMARINES NORTE,BASUD,(FORMERLY NATIONAL HIGHWAY),,(FORMERLY INTERIOR),RR,Residential - Regular,1200.0
raw,"RDO No. 64 - Talisay, Camarines Norte is composed of the following City an",,3/5/2020,3RD,CAMARINES NORTE,BASUD,(FORMERLY NATIONAL HIGHWAY),,(FORMERLY INTERIOR),A1,Agricultural - A1,40.0
raw,"RDO No. 64 - Talisay, Camarines Norte is composed of the following City an",,3/5/2020,3RD,CAMARINES NORTE,BASUD,(FORMERLY NATIONAL HIGHWAY),,(FORMERLY INTERIOR),A2,Agricultural - A2,30.0
raw,"RDO No. 64 - Talisay, Camarines Norte is composed of the following City an",,3/5/2020,3RD,CAMARINES NORTE,BASUD,(FORMERLY NATIONAL HIGHWAY),,(FORMERLY INTERIOR),A4,Agricultural - A4,40.0
raw,"RDO No. 64 - Talisay, Camarines Norte is composed of the following City an",,3/5/2020,3RD,CAMARINES NORTE,BASUD,(FORMERLY NATIONAL HIGHWAY),,(FORMERLY INTERIOR),A50,Agricultural - A50,8.0
raw,"RDO No. 64 - Talisay, Camarines Norte is composed of the following City an",,3/5/2020,3RD,CAMARINES NORTE,BASUD,(FORMERLY NATIONAL HIGHWAY),,ALONG BARANGAY ROAD,X,Special / Other,1500.0
raw,"RDO No. 64 - Talisay, Camarines Norte is composed of the following City an",,3/5/2020,3RD,CAMARINES NORTE,BASUD,(FORMERLY NATIONAL HIGHWAY),,(FORMERLY INTERIOR),RR,Residential - Regular,1200.0
raw,"RDO No. 64 - Talisay, Camarines Norte is composed of the following City an",,3/5/2020,3RD,CAMARINES NORTE,BASUD,(FORMERLY NATIONAL HIGHWAY),,(FORMERLY INTERIOR),A1,Agricultural - A1,40.0
raw,"RDO No. 64 - Talisay, Camarines Norte is composed of the following City an",,3/5/2020,3RD,CAMARINES NORTE,BASUD,(FORMERLY NATIONAL HIGHWAY),,(FORMERLY INTERIOR),A2,Agricultural - A2,30.0
