region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 65 - Naga City, Camarines Sur is composed of the following City an",,,,,,ABELLA,,GEN LUNA ST-J HERNANDEZ AVE,CR,Commercial - Regular,25000.0
raw,"RDO No. 65 - Naga City, Camarines Sur is composed of the following City an",,,,,,ABELLA,,J HERNANDEZ AVE-1ST 100M,CR,Commercial - Regular,15000.0
raw,"RDO No. 65 - Naga City, Camarines Sur is composed of the following City an",,,,,,ABELLA,,AFTER 100M-COR FELIX PLAZO ST,CR,Commercial - Regular,12500.0
raw,"RDO No. 65 - Naga City, Camarines Sur is composed of the following City an",,,,,,ABELLA,,COR F PLAZO ST-NAGA/CAMALIGAN BDRY,RR,Residential - Regular,4000.0
raw,"RDO No. 65 - Naga City, Camarines Sur is composed of the following City an",,,,,,ABELLA,,ABELLA ST-LOOBAN 8,RR,Residential - Regular,4000.0
raw,"RDO No. 65 - Naga City, Camarines Sur is composed of the following City an",,,,,,ABELLA,,GEN LUNA ST-J HERNANDEZ AVE,CR,Commercial - Regular,25000.0
raw,"RDO No. 65 - Naga City, Camarines Sur is composed of the following City an",,,,,,ABELLA,,J HERNANDEZ AVE-1ST 100M,CR,Commercial - Regular,15000.0
raw,"RDO No. 65 - Naga City, Camarines Sur is composed of the following City an",,,,,,ABELLA,,AFTER 100M-COR FELIX PLAZO ST,CR,Commercial - Regular,12500.0
raw,"RDO No. 65 - Naga City, Camarines Sur is composed of the following City an",,,,,,ABELLA,,COR F PLAZO ST-NAGA/CAMALIGAN BDRY,RR,Residential - Regular,4000.0
raw,"RDO No. 65 - Naga City, Camarines Sur is composed of the following City an",,,,,,ABELLA,,ABELLA ST-LOOBAN 8,RR,Residential - Regular,4000.0
raw,"RDO No. 65 - Naga City, Camarines Sur is composed of the following City an",,,,OF CAMARINES SUR,,ABELLA,ABELLA ST,GEN. LUNA - JADE THEATRE,CR,Commercial - Regular,24000.0
raw,"RDO No. 65 - Naga City, Camarines Sur is composed of the following City an",,,,OF CAMARINES SUR,,ABELLA,ABELLA ST,JADE THEATRE - F. PLAZO,RR,Residential - Regular,4000.0
raw,"RDO No. 65 - Naga City, Camarines Sur is composed of the following City an",,,,OF CAMARINES SUR,,ABELLA,ABELLA ST,INTERIOR LOTS,RR,Residential - Regular,600.0
raw,"RDO No. 65 - Naga City, Camarines Sur is composed of the following City an",,,,OF CAMARINES SUR,,ABELLA,ABELLA ST,F. PLAZO - NAGA/CAMALIGAN,RR,Residential - Regular,1500.0
raw,"RDO No. 65 - Naga City, Camarines Sur is composed of the following City an",,,,OF CAMARINES SUR,,ABELLA,ABELLA ST,INTERIOR LOTS,RR,Residential - Regular,600.0
raw,"RDO No. 65 - Naga City, Camarines Sur is composed of the following City an",,,,OF CAMARINES SUR,,ABELLA,ABELLA ST,"SAN FRANCISCO-STA, MESA",RR,Residential - Regular,850.0
raw,"RDO No. 65 - Naga City, Camarines Sur is composed of the following City an",,,,CAMARINES SUR,,ABELLA,ABELLA ST,GEN. LUNA - JADE THEATRE,CR,Commercial - Regular,12000.0
raw,"RDO No. 65 - Naga City, Camarines Sur is composed of the following City an",,,,CAMARINES SUR,,ABELLA,ABELLA ST,JADE THEATRE - F. PLAZO,RR,Residential - Regular,900.0
raw,"RDO No. 65 - Naga City, Camarines Sur is composed of the following City an",,,,CAMARINES SUR,,ABELLA,ABELLA ST,F. PLAZO - NAGA/CAMALIGAN,RR,Residential - Regular,750.0
raw,"RDO No. 65 - Naga City, Camarines Sur is composed of the following City an",,,,OF CAMARINES SUR,,ABELLA,ABELLA ST,BAYAWAS IGUALDAD,RR,Residential - Regular,600.0
raw,"RDO No. 65 - Naga City, Camarines Sur is composed of the following City an",,,,OF CAMARINES SUR,,ABELLA,ABELLA ST,FELIX PLAZO PRIETO,RR,Residential - Regular,600.0
raw,"RDO No. 65 - Naga City, Camarines Sur is composed of the following City an",,,,OF CAMARINES SUR,,ABELLA,ABELLA ST,F. PLAZO -BARANGAY SABANG,RR,Residential - Regular,500.0
raw,"RDO No. 65 - Naga City, Camarines Sur is composed of the following City an",,,,OF CAMARINES SUR,,ABELLA,ABELLA ST,GEN. LUNA - JADE THEATRE,CR,Commercial - Regular,24000.0
