region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,# BINANUAHAN,ALL LOTS,,RR,Residential - Regular,3500.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,# BINANUAHAN,ALL LOTS,TANCHULING INT HOSPITAL,CR,Commercial - Regular,3500.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,# BINANUAHAN,ALL LOTS,TANCHULING SCHOOL,X,Special / Other,3500.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,# BINANUAHAN,ALL LOTS,TANCHULING  HOSPITAL,X,Special / Other,3500.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,# BINANUAHAN,ALL LOTS,,RR,Residential - Regular,3500.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,# BINANUAHAN,ALL LOTS,TANCHULING INT HOSPITAL,CR,Commercial - Regular,3500.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,# BINANUAHAN,ALL LOTS,TANCHULING SCHOOL,X,Special / Other,3500.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,# BINANUAHAN,ALL LOTS,TANCHULING  HOSPITAL,X,Special / Other,3500.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,# BINANUAHAN EAST,ANUANCIACION DY HOMELOTS,INTERIOR,RR,Residential - Regular,750.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,# BINANUAHAN EAST,ANUANCIACION DY HOMELOTS,INTERIOR,RR,Residential - Regular,750.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,# BINANUAHAN EAST,BINANUAHAN EAST,ALONG THE ROAD,CR,Commercial - Regular,3750.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,# BINANUAHAN EAST,BINANUAHAN EAST,INTERIOR,RR,Residential - Regular,1100.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,# BINANUAHAN EAST,BINANUAHAN EAST,ALONG THE ROAD,CR,Commercial - Regular,3750.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,# BINANUAHAN EAST,BINANUAHAN EAST,INTERIOR,RR,Residential - Regular,1100.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,# BINANUAHAN EAST,GEORGE TOWN,INTERIOR,CR,Commercial - Regular,1300.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,# BINANUAHAN EAST,GEORGE TOWN,INTERIOR,RR,Residential - Regular,650.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,# BINANUAHAN EAST,GEORGE TOWN,INTERIOR,CR,Commercial - Regular,1300.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,# BINANUAHAN EAST,GEORGE TOWN,INTERIOR,RR,Residential - Regular,650.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,# BINANUAHAN WEST,ALONG THE ROAD,ALONG THE ROAD,RR,Residential - Regular,920.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,# BINANUAHAN WEST,ALONG THE ROAD,INTERIOR,RR,Residential - Regular,630.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,# BINANUAHAN WEST,ALONG THE ROAD,ALONG THE ROAD,RR,Residential - Regular,920.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,# BINANUAHAN WEST,ALONG THE ROAD,INTERIOR,RR,Residential - Regular,630.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,# PIGCALE,PIGCALE,CHUNG HUA H.S.,X,Special / Other,1950.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,# PIGCALE,PIGCALE,CHUNG HUA H.S.,X,Special / Other,1950.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,# PIGCALE,QUEZON AVE.,CHUNG HUA H.S.,CR,Commercial - Regular,2230.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,# PIGCALE,QUEZON AVE.,CHUNG HUA H.S.,CR,Commercial - Regular,2230.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,#1 EM'S BARRIO,ALL OTHER STREETS,ALONG THE ROAD,CR,Commercial - Regular,2000.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,#1 EM'S BARRIO,ALL OTHER STREETS,ALONG THE ROAD,RR,Residential - Regular,715.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,#1 EM'S BARRIO,ALL OTHER STREETS,ALONG THE ROAD,CR,Commercial - Regular,2000.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,#1 EM'S BARRIO,ALL OTHER STREETS,ALONG THE ROAD,RR,Residential - Regular,715.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,#1 EM'S BARRIO,ALONG THE ROAD,BICOL UNIVERSITY,X,Special / Other,400.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,#1 EM'S BARRIO,ALONG THE ROAD,COLLEGE OF ENG'G,X,Special / Other,180.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,#1 EM'S BARRIO,ALONG THE ROAD,BICOL UNIVERSITY,X,Special / Other,400.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,#1 EM'S BARRIO,ALONG THE ROAD,COLLEGE OF ENG'G,X,Special / Other,180.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,#1 EM'S BARRIO,BICOL UNIVERSITY,ALONG THE ROAD,X,Special / Other,10000.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,#1 EM'S BARRIO,BICOL UNIVERSITY,ALONG THE ROAD,X,Special / Other,1425.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,#1 EM'S BARRIO,BICOL UNIVERSITY,ALONG THE ROAD,X,Special / Other,10000.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,#1 EM'S BARRIO,BICOL UNIVERSITY,ALONG THE ROAD,X,Special / Other,1425.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,#1 EM'S BARRIO,COLLEGE OF ENG'G,ALONG THE ROAD,X,Special / Other,1300.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,#1 EM'S BARRIO,COLLEGE OF ENG'G,ALONG THE ROAD,X,Special / Other,1300.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,#1 EM'S BARRIO,COLLEGE OF ENG'G.,ALONG THE ROAD,X,Special / Other,2000.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,#1 EM'S BARRIO,COLLEGE OF ENG'G.,ALONG THE ROAD,X,Special / Other,2000.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,#1 EM'S BARRIO,EM'S BARRIO,COR YMCA LANE - BUCIT BRIDGE,CR,Commercial - Regular,3000.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,#1 EM'S BARRIO,EM'S BARRIO,COR YMCA LANE - BUCIT BRIDGE,RR,Residential - Regular,2000.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,#1 EM'S BARRIO,EM'S BARRIO,ALL OTHER STREETS,RR,Residential - Regular,1500.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,#1 EM'S BARRIO,EM'S BARRIO,INTERIOR,RR,Residential - Regular,800.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,#1 EM'S BARRIO,EM'S BARRIO,ALONG THE ROAD,RR,Residential - Regular,715.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,#1 EM'S BARRIO,EM'S BARRIO,COR YMCA LANE - BUCIT BRIDGE,CR,Commercial - Regular,3000.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,#1 EM'S BARRIO,EM'S BARRIO,COR YMCA LANE - BUCIT BRIDGE,RR,Residential - Regular,2000.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,#1 EM'S BARRIO,EM'S BARRIO,ALL OTHER STREETS,RR,Residential - Regular,1500.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,#1 EM'S BARRIO,EM'S BARRIO,INTERIOR,RR,Residential - Regular,800.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,#1 EM'S BARRIO,EM'S BARRIO,ALONG THE ROAD,RR,Residential - Regular,715.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,#1 EM'S BARRIO,RIZAL ST.,FROM PHILHEALTH - YMCA/CAMP,CR,Commercial - Regular,10000.0
raw,"RDO No. 67 - Legazpi City, Albay is composed of the following Cities and M",,,,,,#1 EM'S BARRIO,RIZAL ST.,OLA,RR,Residential - Regular,3000.0
