region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BALOGO,ALL STREETS,ALONG THE ROAD,RR,Residential - Regular,135.0
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BALOGO,ALL STREETS,ALONG THE ROAD,A1,Agricultural - A1,2.5
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BALOGO,ALL STREETS,ALONG THE ROAD,A4,Agricultural - A4,2.0
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BALOGO,ALL STREETS,INTERIOR,RR,Residential - Regular,105.0
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BALOGO,ALL STREETS,INTERIOR,A2,Agricultural - A2,1.1
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BALOGO,ALL STREETS,INTERIOR,A4,Agricultural - A4,1.0
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BALOGO,ALL STREETS,ALONG THE ROAD,RR,Residential - Regular,135.0
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BALOGO,ALL STREETS,ALONG THE ROAD,A1,Agricultural - A1,2.5
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BALOGO,ALL STREETS,ALONG THE ROAD,A4,Agricultural - A4,2.0
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BALOGO,ALL STREETS,INTERIOR,RR,Residential - Regular,105.0
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BALOGO,ALL STREETS,INTERIOR,A2,Agricultural - A2,1.1
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BALOGO,ALL STREETS,INTERIOR,A4,Agricultural - A4,1.0
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BATO,ALL STREETS,ALONG THE ROAD,RR,Residential - Regular,135.0
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BATO,ALL STREETS,ALONG THE ROAD,A1,Agricultural - A1,2.5
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BATO,ALL STREETS,ALONG THE ROAD,A4,Agricultural - A4,2.0
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BATO,ALL STREETS,INTERIOR,RR,Residential - Regular,105.0
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BATO,ALL STREETS,INTERIOR,A2,Agricultural - A2,1.1
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BATO,ALL STREETS,INTERIOR,A4,Agricultural - A4,1.0
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BATO,ALL STREETS,ALONG THE ROAD,RR,Residential - Regular,135.0
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BATO,ALL STREETS,ALONG THE ROAD,A1,Agricultural - A1,2.5
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BATO,ALL STREETS,ALONG THE ROAD,A4,Agricultural - A4,2.0
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BATO,ALL STREETS,INTERIOR,RR,Residential - Regular,105.0
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BATO,ALL STREETS,INTERIOR,A2,Agricultural - A2,1.1
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BATO,ALL STREETS,INTERIOR,A4,Agricultural - A4,1.0
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BON-OT,ALL STREETS,ALONG THE ROAD,RR,Residential - Regular,135.0
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BON-OT,ALL STREETS,ALONG THE ROAD,A1,Agricultural - A1,2.5
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BON-OT,ALL STREETS,ALONG THE ROAD,A4,Agricultural - A4,2.0
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BON-OT,ALL STREETS,INTERIOR,RR,Residential - Regular,105.0
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BON-OT,ALL STREETS,INTERIOR,A2,Agricultural - A2,1.1
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BON-OT,ALL STREETS,INTERIOR,A4,Agricultural - A4,1.0
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BON-OT,ALL STREETS,ALONG THE ROAD,RR,Residential - Regular,135.0
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BON-OT,ALL STREETS,ALONG THE ROAD,A1,Agricultural - A1,2.5
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BON-OT,ALL STREETS,ALONG THE ROAD,A4,Agricultural - A4,2.0
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BON-OT,ALL STREETS,INTERIOR,RR,Residential - Regular,105.0
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BON-OT,ALL STREETS,INTERIOR,A2,Agricultural - A2,1.1
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BON-OT,ALL STREETS,INTERIOR,A4,Agricultural - A4,1.0
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BONGA,ALL STREETS,ALONG THE ROAD,RR,Residential - Regular,135.0
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BONGA,ALL STREETS,ALONG THE ROAD,A1,Agricultural - A1,2.5
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BONGA,ALL STREETS,ALONG THE ROAD,A4,Agricultural - A4,2.0
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BONGA,ALL STREETS,INTERIOR,RR,Residential - Regular,105.0
raw,"RDO No. 68 - Sorsogon City, Sorsogon is composed of the following Cities a",,,,,"BACON, SORSOGON",BONGA,ALL STREETS,INTERIOR,A2,Agricultural - A2,1.1
