region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 7 - BANGUED, ABRA is composed of the following Municipalities:",016-2021,"September 4, 2021",3RD,ABRA,BANGUED,AGTANGAO,ALL  LOTS,PROVINCIAL ROAD,CR,Commercial - Regular,3329.1000000000004
raw,"RDO No. 7 - BANGUED, ABRA is composed of the following Municipalities:",016-2021,"September 4, 2021",3RD,ABRA,BANGUED,AGTANGAO,ALL  LOTS,Sinalang-Bucay,RR,Residential - Regular,2886.3
raw,"RDO No. 7 - BANGUED, ABRA is composed of the following Municipalities:",016-2021,"September 4, 2021",3RD,ABRA,BANGUED,AGTANGAO,ALL  LOTS,Sinalang-Bucay,A1,Agricultural - A1,163.8
raw,"RDO No. 7 - BANGUED, ABRA is composed of the following Municipalities:",016-2021,"September 4, 2021",3RD,ABRA,BANGUED,AGTANGAO,ALL  LOTS,Sinalang-Bucay,A2,Agricultural - A2,99.0
raw,"RDO No. 7 - BANGUED, ABRA is composed of the following Municipalities:",016-2021,"September 4, 2021",3RD,ABRA,BANGUED,AGTANGAO,ALL  LOTS,Sinalang-Bucay,A10,Agricultural - A10,33.3
raw,"RDO No. 7 - BANGUED, ABRA is composed of the following Municipalities:",016-2021,"September 4, 2021",3RD,ABRA,BANGUED,AGTANGAO,ALL  LOTS,Sinalang-Bucay,A14,Agricultural - A14,65.7
raw,"RDO No. 7 - BANGUED, ABRA is composed of the following Municipalities:",016-2021,"September 4, 2021",3RD,ABRA,BANGUED,AGTANGAO,ALL  LOTS,Sinalang-Bucay,A15,Agricultural - A15,33.3
raw,"RDO No. 7 - BANGUED, ABRA is composed of the following Municipalities:",016-2021,"September 4, 2021",3RD,ABRA,BANGUED,AGTANGAO,ALL  LOTS,Sinalang-Bucay,A16,Agricultural - A16,65.7
raw,"RDO No. 7 - BANGUED, ABRA is composed of the following Municipalities:",016-2021,"September 4, 2021",3RD,ABRA,BANGUED,AGTANGAO,ALL  LOTS,Sinalang-Bucay,A17,Agricultural - A17,65.7
raw,"RDO No. 7 - BANGUED, ABRA is composed of the following Municipalities:",016-2021,"September 4, 2021",3RD,ABRA,BANGUED,AGTANGAO,ALL  LOTS,Sinalang-Bucay,A18,Agricultural - A18,65.7
raw,"RDO No. 7 - BANGUED, ABRA is composed of the following Municipalities:",016-2021,"September 4, 2021",3RD,ABRA,BANGUED,AGTANGAO,ALL  LOTS,Sinalang-Bucay,A23,Agricultural - A23,327.6
raw,"RDO No. 7 - BANGUED, ABRA is composed of the following Municipalities:",016-2021,"September 4, 2021",3RD,ABRA,BANGUED,AGTANGAO,ALL  LOTS,Sinalang-Bucay,A26,Agricultural - A26,33.3
raw,"RDO No. 7 - BANGUED, ABRA is composed of the following Municipalities:",016-2021,"September 4, 2021",3RD,ABRA,BANGUED,AGTANGAO,ALL  LOTS,Sinalang-Bucay,A40,Agricultural - A40,897.5
raw,"RDO No. 7 - BANGUED, ABRA is composed of the following Municipalities:",016-2021,"September 4, 2021",3RD,ABRA,BANGUED,AGTANGAO,ALL  LOTS,Sinalang-Bucay,A41,Agricultural - A41,33.3
raw,"RDO No. 7 - BANGUED, ABRA is composed of the following Municipalities:",016-2021,"September 4, 2021",3RD,ABRA,BANGUED,AGTANGAO,ALL  LOTS,Sinalang-Bucay,A47,Agricultural - A47,65.7
raw,"RDO No. 7 - BANGUED, ABRA is composed of the following Municipalities:",016-2021,"September 4, 2021",3RD,ABRA,BANGUED,AGTANGAO,ALL  LOTS,Sinalang-Bucay,A50,Agricultural - A50,33.3
raw,"RDO No. 7 - BANGUED, ABRA is composed of the following Municipalities:",016-2021,"September 4, 2021",3RD,ABRA,BANGUED,AGTANGAO,ALL  LOTS,BARANGAY ROAD,CR,Commercial - Regular,1959.3000000000002
raw,"RDO No. 7 - BANGUED, ABRA is composed of the following Municipalities:",016-2021,"September 4, 2021",3RD,ABRA,BANGUED,AGTANGAO,ALL  LOTS,BARANGAY ROAD,RR,Residential - Regular,1698.3000000000002
raw,"RDO No. 7 - BANGUED, ABRA is composed of the following Municipalities:",016-2021,"September 4, 2021",3RD,ABRA,BANGUED,AGTANGAO,ALL  LOTS,BARANGAY ROAD,A1,Agricultural - A1,96.30000000000001
raw,"RDO No. 7 - BANGUED, ABRA is composed of the following Municipalities:",016-2021,"September 4, 2021",3RD,ABRA,BANGUED,AGTANGAO,ALL  LOTS,BARANGAY ROAD,A2,Agricultural - A2,58.5
raw,"RDO No. 7 - BANGUED, ABRA is composed of the following Municipalities:",016-2021,"September 4, 2021",3RD,ABRA,BANGUED,AGTANGAO,ALL  LOTS,BARANGAY ROAD,A10,Agricultural - A10,21.0
raw,"RDO No. 7 - BANGUED, ABRA is composed of the following Municipalities:",016-2021,"September 4, 2021",3RD,ABRA,BANGUED,AGTANGAO,ALL  LOTS,BARANGAY ROAD,A14,Agricultural - A14,38.7
raw,"RDO No. 7 - BANGUED, ABRA is composed of the following Municipalities:",016-2021,"September 4, 2021",3RD,ABRA,BANGUED,AGTANGAO,ALL  LOTS,BARANGAY ROAD,A15,Agricultural - A15,21.0
raw,"RDO No. 7 - BANGUED, ABRA is composed of the following Municipalities:",016-2021,"September 4, 2021",3RD,ABRA,BANGUED,AGTANGAO,ALL  LOTS,BARANGAY ROAD,A16,Agricultural - A16,38.7
raw,"RDO No. 7 - BANGUED, ABRA is composed of the following Municipalities:",016-2021,"September 4, 2021",3RD,ABRA,BANGUED,AGTANGAO,ALL  LOTS,BARANGAY ROAD,A17,Agricultural - A17,38.7
raw,"RDO No. 7 - BANGUED, ABRA is composed of the following Municipalities:",016-2021,"September 4, 2021",3RD,ABRA,BANGUED,AGTANGAO,ALL  LOTS,BARANGAY ROAD,A18,Agricultural - A18,38.7
raw,"RDO No. 7 - BANGUED, ABRA is composed of the following Municipalities:",016-2021,"September 4, 2021",3RD,ABRA,BANGUED,AGTANGAO,ALL  LOTS,BARANGAY ROAD,A23,Agricultural - A23,192.60000000000002
raw,"RDO No. 7 - BANGUED, ABRA is composed of the following Municipalities:",016-2021,"September 4, 2021",3RD,ABRA,BANGUED,AGTANGAO,ALL  LOTS,BARANGAY ROAD,A26,Agricultural - A26,21.0
raw,"RDO No. 7 - BANGUED, ABRA is composed of the following Municipalities:",016-2021,"September 4, 2021",3RD,ABRA,BANGUED,AGTANGAO,ALL  LOTS,BARANGAY ROAD,A41,Agricultural - A41,21.0
raw,"RDO No. 7 - BANGUED, ABRA is composed of the following Municipalities:",016-2021,"September 4, 2021",3RD,ABRA,BANGUED,AGTANGAO,ALL  LOTS,BARANGAY ROAD,A47,Agricultural - A47,38.7
raw,"RDO No. 7 - BANGUED, ABRA is composed of the following Municipalities:",016-2021,"September 4, 2021",3RD,ABRA,BANGUED,AGTANGAO,ALL  LOTS,BARANGAY ROAD,A50,Agricultural - A50,19.8
