region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 70 - Masbate City, Masbate is composed of the following City and M",,"March 3, 2020",2ND,MASBATE,AROROY,AMBOLONG,ALL LOTS,ALONG THE MUNICIPAL ROAD (POBLACION)**,CR,Commercial - Regular,4500.0
raw,"RDO No. 70 - Masbate City, Masbate is composed of the following City and M",,"March 3, 2020",2ND,MASBATE,AROROY,AMBOLONG,ALL LOTS,ALONG THE MUNICIPAL ROAD (POBLACION)**,RR,Residential - Regular,3000.0
raw,"RDO No. 70 - Masbate City, Masbate is composed of the following City and M",010 - 2024,"February 15, 2024",3RD,MASBATE,AROROY,AMBOLONG,ALL LOTS,ALONG THE MUNICIPAL ROAD,CR,Commercial - Regular,5200.0
raw,"RDO No. 70 - Masbate City, Masbate is composed of the following City and M",010 - 2024,"February 15, 2024",3RD,MASBATE,AROROY,AMBOLONG,ALL LOTS,ALONG THE MUNICIPAL ROAD,RR,Residential - Regular,3550.0
raw,"RDO No. 70 - Masbate City, Masbate is composed of the following City and M",,"March 3, 2020",2ND,MASBATE,AROROY,AMBOLONG,ALL LOTS,ALONG THE MUNICIPAL ROAD (POBLACION)**,CR,Commercial - Regular,4500.0
raw,"RDO No. 70 - Masbate City, Masbate is composed of the following City and M",,"March 3, 2020",2ND,MASBATE,AROROY,AMBOLONG,ALL LOTS,ALONG THE MUNICIPAL ROAD (POBLACION)**,RR,Residential - Regular,3000.0
raw,"RDO No. 70 - Masbate City, Masbate is composed of the following City and M",010 - 2024,"February 15, 2024",3RD,MASBATE,AROROY,AMBOLONG,ALL OTHER LOTS,ALONG THE MUNICIPAL ROAD,A4,Agricultural - A4,15.0
raw,"RDO No. 70 - Masbate City, Masbate is composed of the following City and M",010 - 2024,"February 15, 2024",3RD,MASBATE,AROROY,AMBOLONG,ALL OTHER LOTS,ALONG THE MUNICIPAL ROAD,A10,Agricultural - A10,10.0
raw,"RDO No. 70 - Masbate City, Masbate is composed of the following City and M",,"March 3, 2020",2ND,MASBATE,AROROY,AMBOLONG,ALL OTHER STREETS,ALONG THE MUNICIPAL ROAD (POBLACION)**,CR,Commercial - Regular,4000.0
raw,"RDO No. 70 - Masbate City, Masbate is composed of the following City and M",,"March 3, 2020",2ND,MASBATE,AROROY,AMBOLONG,ALL OTHER STREETS,ALONG THE MUNICIPAL ROAD (POBLACION)**,RR,Residential - Regular,2500.0
raw,"RDO No. 70 - Masbate City, Masbate is composed of the following City and M",010 - 2024,"February 15, 2024",3RD,MASBATE,AROROY,AMBOLONG,ALL OTHER STREETS,ALONG THE MUNICIPAL ROAD,CR,Commercial - Regular,4650.0
raw,"RDO No. 70 - Masbate City, Masbate is composed of the following City and M",010 - 2024,"February 15, 2024",3RD,MASBATE,AROROY,AMBOLONG,ALL OTHER STREETS,ALONG THE MUNICIPAL ROAD,RR,Residential - Regular,2750.0
