region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BATO,ALL LOTS,,RR,Residential - Regular,400.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BATO,ALL LOTS,,CR,Commercial - Regular,2000.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BATO,ALL LOTS,,I,Industrial,2000.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BATO,ALL LOTS,,X,Special / Other,2000.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BATO,ALL LOTS,INTERIOR,RR,Residential - Regular,320.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BATO,ALL LOTS,INTERIOR,GP,General Purpose,300.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BATO,ALL LOTS,INTERIOR,A1,Agricultural - A1,15.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BATO,ALL LOTS,INTERIOR,A2,Agricultural - A2,25.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BATO,ALL LOTS,,RR,Residential - Regular,350.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BATO,ALL LOTS,,X,Special / Other,2000.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BATO,ALL LOTS,,A1,Agricultural - A1,3.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BATO,ALL LOTS,,A2,Agricultural - A2,10.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BAYBAY,ALL LOTS,,RR,Residential - Regular,900.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BAYBAY,ALL LOTS,,CR,Commercial - Regular,2000.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BAYBAY,ALL LOTS,,I,Industrial,2000.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BAYBAY,ALL LOTS,,X,Special / Other,2000.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BAYBAY,ALL LOTS,INTERIOR,RR,Residential - Regular,720.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BAYBAY,ALL LOTS,INTERIOR,GP,General Purpose,300.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BAYBAY,ALL LOTS,INTERIOR,A1,Agricultural - A1,15.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BAYBAY,ALL LOTS,INTERIOR,A2,Agricultural - A2,25.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BAYBAY,ALL LOTS,,RR,Residential - Regular,450.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BAYBAY,ALL LOTS,,X,Special / Other,2000.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BAYBAY,ALL LOTS,,A1,Agricultural - A1,3.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BAYBAY,ALL LOTS,,A2,Agricultural - A2,10.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BOLO,ALL LOTS,,RR,Residential - Regular,600.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BOLO,ALL LOTS,,CR,Commercial - Regular,2000.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BOLO,ALL LOTS,,I,Industrial,2000.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BOLO,ALL LOTS,,X,Special / Other,2000.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BOLO,ALL LOTS,INTERIOR,RR,Residential - Regular,480.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BOLO,ALL LOTS,INTERIOR,GP,General Purpose,300.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BOLO,ALL LOTS,INTERIOR,A1,Agricultural - A1,15.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BOLO,ALL LOTS,INTERIOR,A2,Agricultural - A2,25.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BOLO,ALL LOTS,,RR,Residential - Regular,400.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BOLO,ALL LOTS,,X,Special / Other,2000.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BOLO,ALL LOTS,,A1,Agricultural - A1,3.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,BOLO,ALL LOTS,,A2,Agricultural - A2,10.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,CABUGAO,ALL LOTS,,RR,Residential - Regular,400.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,CABUGAO,ALL LOTS,,CR,Commercial - Regular,2000.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,CABUGAO,ALL LOTS,,I,Industrial,2000.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,CABUGAO,ALL LOTS,,X,Special / Other,2000.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,CABUGAO,ALL LOTS,INTERIOR,RR,Residential - Regular,320.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,CABUGAO,ALL LOTS,INTERIOR,GP,General Purpose,300.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,CABUGAO,ALL LOTS,INTERIOR,A1,Agricultural - A1,15.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,CABUGAO,ALL LOTS,INTERIOR,A2,Agricultural - A2,25.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,CABUGAO,ALL LOTS,,RR,Residential - Regular,350.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,CABUGAO,ALL LOTS,,X,Special / Other,2000.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,CABUGAO,ALL LOTS,,A1,Agricultural - A1,3.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,CABUGAO,ALL LOTS,,A2,Agricultural - A2,10.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,CAGAY,ALL LOTS,,RR,Residential - Regular,400.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,CAGAY,ALL LOTS,,CR,Commercial - Regular,2000.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,CAGAY,ALL LOTS,,I,Industrial,2000.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,CAGAY,ALL LOTS,,X,Special / Other,2000.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,CAGAY,ALL LOTS,INTERIOR,RR,Residential - Regular,320.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,CAGAY,ALL LOTS,INTERIOR,GP,General Purpose,300.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,CAGAY,ALL LOTS,INTERIOR,A1,Agricultural - A1,15.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,CAGAY,ALL LOTS,INTERIOR,A2,Agricultural - A2,10.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,CAGAY,ALL LOTS,,RR,Residential - Regular,350.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,CAGAY,ALL LOTS,,X,Special / Other,2000.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,CAGAY,ALL LOTS,,A1,Agricultural - A1,3.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,CAGAY,ALL LOTS,,A2,Agricultural - A2,10.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,COGON,ALL LOTS,,RR,Residential - Regular,400.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,COGON,ALL LOTS,,CR,Commercial - Regular,2000.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,COGON,ALL LOTS,,I,Industrial,2000.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,COGON,ALL LOTS,,X,Special / Other,2000.0
raw,"RDO No. 72 - Roxas City, Capiz is composed of the following City and Munic",,,,,,COGON,ALL LOTS,INTERIOR,RR,Residential - Regular,320.0
