region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,ABETO MIRASOL,AIRPORT ROAD,,CR,Commercial - Regular,650.0
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,ABETO MIRASOL,ALL OTHER STREETS,,CR,Commercial - Regular,650.0
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,ABETO MIRASOL,ALL OTHER STREETS,,RR,Residential - Regular,180.0
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,ABETO MIRASOL,AMES CIRCLE SUBD.,,RR,Residential - Regular,200.0
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,ABETO MIRASOL,CORVILLE SUBD.,,RR,Residential - Regular,180.0
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,ABETO MIRASOL,EXEQUIEL SUMCIO SUBD.,,RR,Residential - Regular,180.0
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,ABETO MIRASOL,MIRASOL ST,,RR,Residential - Regular,180.0
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,ABETO MIRASOL,RICELAND UNIRRIGATED,,A2,Agricultural - A2,7.5
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,ABETO MIRASOL,TAFT ST,,RR,Residential - Regular,350.0
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,AGUINALDO,RAILWAY ROAD,,RR,Residential - Regular,180.0
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,AGUINALDO,RICELAND UNIRRIGATED,,A2,Agricultural - A2,7.5
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,ALALASAN,RAILWAY ROAD,,RR,Residential - Regular,180.0
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,ALALASAN,RICELAND UNIRRIGATED,,A2,Agricultural - A2,7.5
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,ARGUELLES,ALL OTHER STREETS,S.LEDESMA L. JAENA,CR,Commercial - Regular,530.0
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,ARGUELLES,ALL OTHER STREETS,S.LEDESMA L. JAENA,RR,Residential - Regular,450.0
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,ARGUELLES,ARGUELLES ST,PLAZA RIZAL FAJARDO ST,RR,Residential - Regular,530.0
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,ARGUELLES,ARGUELLES ST,FAJARDO STO. DOMINGO ST,RR,Residential - Regular,450.0
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,ARGUELLES,FAJARDO ST.,FAJARDO STO. DOMINGO ST,RR,Residential - Regular,450.0
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,ARGUELLES,LOPEZ JAENA ST,P. RIZAL S.LEDESMA ST,CR,Commercial - Regular,700.0
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,ARGUELLES,LOPEZ JAENA ST,S.LEDESMA L. JAENA,CR,Commercial - Regular,530.0
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,ARGUELLES,PLAZA RIZAL ST,S.LEDESMA L. JAENA,RR,Residential - Regular,830.0
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,ARGUELLES,STA. ISABEL ST,S.LEDESMA L. JAENA,RR,Residential - Regular,450.0
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,ARGUELLES,STO. DOMINGO ST,S.LEDESMA L. JAENA,RR,Residential - Regular,450.0
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,ARSENAL,ADUANA (GEN. PERALTA),,CR,Commercial - Regular,2750.0
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,ARSENAL,ALDEGUER ST,,CR,Commercial - Regular,2750.0
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,ARSENAL,ARSENAL ST,,CR,Commercial - Regular,2750.0
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,ARSENAL,GUANCO ST,,CR,Commercial - Regular,2750.0
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,ARSENAL,J. M. BASA ST,,CR,Commercial - Regular,5500.0
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,ARSENAL,MUELLEY LONEY ST,,CR,Commercial - Regular,1630.0
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,BAGUMBAYAN,ALL OTHER STREETS,,RR,Residential - Regular,650.0
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,BAGUMBAYAN,BAGUMBAYAN ST,,RR,Residential - Regular,700.0
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,BAGUMBAYAN,DELGADO ST,,RR,Residential - Regular,780.0
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,BAGUMBAYAN,FORTUNATA ST,,RR,Residential - Regular,650.0
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,BAGUMBAYAN,JALANDONI ST,,RR,Residential - Regular,1000.0
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,BAKHAW,B.S. AQUINO JR. AVE.,,CR,Commercial - Regular,600.0
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,BAKHAW,COCOLAND,,A2,Agricultural - A2,7.5
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,BAKHAW,RICELAND UNIRRIGATED,,A2,Agricultural - A2,7.5
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,BALABAGO,ALL OTHER STREET,,RR,Residential - Regular,200.0
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,BALABAGO,ALTA TIERRA SUBD,,RR,Residential - Regular,250.0
raw,"RDO NO. 74 - Iloilo City, Iloilo is composed of the following City and Mun",,,,,,BALABAGO,BALABAGO ROAD,,RR,Residential - Regular,250.0
