region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 75 - Zarraga, Iloilo is composed of the following City and Municip",,,3RD,ILOILO,AJUY,ADCADARAO,ALL LOTS,,CR,Commercial - Regular,2785.0
raw,"RDO No. 75 - Zarraga, Iloilo is composed of the following City and Municip",,,3RD,ILOILO,AJUY,ADCADARAO,ALL LOTS,,RR,Residential - Regular,2280.0
raw,"RDO No. 75 - Zarraga, Iloilo is composed of the following City and Municip",,,3RD,ILOILO,AJUY,ADCADARAO,ALL LOTS,,A2,Agricultural - A2,43.0
raw,"RDO No. 75 - Zarraga, Iloilo is composed of the following City and Municip",,,3RD,ILOILO,AJUY,ADCADARAO,ALL LOTS,,A6,Agricultural - A6,60.0
raw,"RDO No. 75 - Zarraga, Iloilo is composed of the following City and Municip",,,3RD,ILOILO,AJUY,ADCADARAO,ALL LOTS,,A15,Agricultural - A15,33.0
raw,"RDO No. 75 - Zarraga, Iloilo is composed of the following City and Municip",,,3RD,ILOILO,AJUY,ADCADARAO,ALL LOTS,,A16,Agricultural - A16,38.0
raw,"RDO No. 75 - Zarraga, Iloilo is composed of the following City and Municip",,,3RD,ILOILO,AJUY,ADCADARAO,ALL LOTS,,A26,Agricultural - A26,30.0
raw,"RDO No. 75 - Zarraga, Iloilo is composed of the following City and Municip",,,3RD,ILOILO,AJUY,ADCADARAO,ALL LOTS,,A39,Agricultural - A39,150.0
raw,"RDO No. 75 - Zarraga, Iloilo is composed of the following City and Municip",,,3RD,ILOILO,AJUY,ADCADARAO,ALL LOTS,,A50,Agricultural - A50,20.0
raw,"RDO No. 75 - Zarraga, Iloilo is composed of the following City and Municip",,,,:  ILOILO,AJUY,ADCADARAO,ALL LOTS,,CR,Commercial - Regular,1500.0
raw,"RDO No. 75 - Zarraga, Iloilo is composed of the following City and Municip",,,,:  ILOILO,AJUY,ADCADARAO,ALL LOTS,,RR,Residential - Regular,1200.0
raw,"RDO No. 75 - Zarraga, Iloilo is composed of the following City and Municip",,,,:  ILOILO,AJUY,ADCADARAO,ALL LOTS,,A2,Agricultural - A2,25.0
raw,"RDO No. 75 - Zarraga, Iloilo is composed of the following City and Municip",,,,:  ILOILO,AJUY,ADCADARAO,ALL LOTS,,A15,Agricultural - A15,15.0
raw,"RDO No. 75 - Zarraga, Iloilo is composed of the following City and Municip",,,,:  ILOILO,AJUY,ADCADARAO,ALL LOTS,,A16,Agricultural - A16,20.0
raw,"RDO No. 75 - Zarraga, Iloilo is composed of the following City and Municip",,,3RD,ILOILO,AJUY,AGBOBOLO,ALL LOTS,,RR,Residential - Regular,2030.0
raw,"RDO No. 75 - Zarraga, Iloilo is composed of the following City and Municip",,,3RD,ILOILO,AJUY,AGBOBOLO,ALL LOTS,,A2,Agricultural - A2,40.0
raw,"RDO No. 75 - Zarraga, Iloilo is composed of the following City and Municip",,,3RD,ILOILO,AJUY,AGBOBOLO,ALL LOTS,,A3,Agricultural - A3,30.0
raw,"RDO No. 75 - Zarraga, Iloilo is composed of the following City and Municip",,,3RD,ILOILO,AJUY,AGBOBOLO,ALL LOTS,,A4,Agricultural - A4,30.0
raw,"RDO No. 75 - Zarraga, Iloilo is composed of the following City and Municip",,,3RD,ILOILO,AJUY,AGBOBOLO,ALL LOTS,,A26,Agricultural - A26,30.0
raw,"RDO No. 75 - Zarraga, Iloilo is composed of the following City and Municip",,,3RD,ILOILO,AJUY,AGBOBOLO,ALL LOTS,,A36,Agricultural - A36,42.0
raw,"RDO No. 75 - Zarraga, Iloilo is composed of the following City and Municip",,,3RD,ILOILO,AJUY,AGBOBOLO,ALL LOTS,,A50,Agricultural - A50,20.0
raw,"RDO No. 75 - Zarraga, Iloilo is composed of the following City and Municip",,,,:  ILOILO,AJUY,AGBOBOLO,ALL LOTS,,RR,Residential - Regular,1200.0
raw,"RDO No. 75 - Zarraga, Iloilo is composed of the following City and Municip",,,,:  ILOILO,AJUY,AGBOBOLO,ALL LOTS,,A3,Agricultural - A3,20.0
raw,"RDO No. 75 - Zarraga, Iloilo is composed of the following City and Municip",,,,:  ILOILO,AJUY,AGBOBOLO,ALL LOTS,,A36,Agricultural - A36,25.0
raw,"RDO No. 75 - Zarraga, Iloilo is composed of the following City and Municip",,,,,AJUY,ALL OTHER BARANGAYS,ALL LOTS,RES LOTS ALONG ALL,RR,Residential - Regular,190.0
raw,"RDO No. 75 - Zarraga, Iloilo is composed of the following City and Municip",,,,,AJUY,ALL OTHER BARANGAYS,ALL LOTS,BGY. RES LOTS NOT BENE-,RR,Residential - Regular,165.0
raw,"RDO No. 75 - Zarraga, Iloilo is composed of the following City and Municip",,,,,AJUY,ALL OTHER BARANGAYS,ALL LOTS,BGY. RES LOTS NOT BENE-,A1,Agricultural - A1,14.0
raw,"RDO No. 75 - Zarraga, Iloilo is composed of the following City and Municip",,,,,AJUY,ALL OTHER BARANGAYS,ALL LOTS,BGY. RES LOTS NOT BENE-,A2,Agricultural - A2,10.0
raw,"RDO No. 75 - Zarraga, Iloilo is composed of the following City and Municip",,,,,AJUY,ALL OTHER BARANGAYS,ALL LOTS,BGY. RES LOTS NOT BENE-,A3,Agricultural - A3,5.5
raw,"RDO No. 75 - Zarraga, Iloilo is composed of the following City and Municip",,,,,AJUY,ALL OTHER BARANGAYS,ALL LOTS,BGY. RES LOTS NOT BENE-,A4,Agricultural - A4,35.0
raw,"RDO No. 75 - Zarraga, Iloilo is composed of the following City and Municip",,,,,AJUY,ALL OTHER BARANGAYS,ALL LOTS,BGY. RES LOTS NOT BENE-,A5,Agricultural - A5,25.5
raw,"RDO No. 75 - Zarraga, Iloilo is composed of the following City and Municip",,,,,AJUY,ALL OTHER BARANGAYS,ALL LOTS,BGY. RES LOTS NOT BENE-,A6,Agricultural - A6,21.0
