region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 76 - Victorias City, Negros Occidental is composed of the followin",,,1ST,,,ALL OTHERS BARANGAYS,ALL LOTS,,RR,Residential - Regular,300.0
raw,"RDO No. 76 - Victorias City, Negros Occidental is composed of the followin",,,1ST,,,ALL OTHERS BARANGAYS,ALL LOTS,TRANS LOADING STATION BRGY.,I,Industrial,1200.0
raw,"RDO No. 76 - Victorias City, Negros Occidental is composed of the followin",,,1ST,,,ALL OTHERS BARANGAYS,ALL LOTS,TRANS LOADING STATION BRGY.,A1,Agricultural - A1,24.0
raw,"RDO No. 76 - Victorias City, Negros Occidental is composed of the followin",,,1ST,,,ALL OTHERS BARANGAYS,ALL LOTS,TRANS LOADING STATION BRGY.,A2,Agricultural - A2,12.0
raw,"RDO No. 76 - Victorias City, Negros Occidental is composed of the followin",,,1ST,,,ALL OTHERS BARANGAYS,ALL LOTS,TRANS LOADING STATION BRGY.,A3,Agricultural - A3,6.0
raw,"RDO No. 76 - Victorias City, Negros Occidental is composed of the followin",,,1ST,,,ALL OTHERS BARANGAYS,ALL LOTS,TRANS LOADING STATION BRGY.,A4,Agricultural - A4,10.0
raw,"RDO No. 76 - Victorias City, Negros Occidental is composed of the followin",,,1ST,,,ALL OTHERS BARANGAYS,ALL LOTS,TRANS LOADING STATION BRGY.,A6,Agricultural - A6,30.0
raw,"RDO No. 76 - Victorias City, Negros Occidental is composed of the followin",,,1ST,,,ALL OTHERS BARANGAYS,ALL LOTS,TRANS LOADING STATION BRGY.,A8,Agricultural - A8,4.0
raw,"RDO No. 76 - Victorias City, Negros Occidental is composed of the followin",,,1ST,,,ALL OTHERS BARANGAYS,ALL LOTS,TRANS LOADING STATION BRGY.,A10,Agricultural - A10,2.0
raw,"RDO No. 76 - Victorias City, Negros Occidental is composed of the followin",,,1ST,,,ALL OTHERS BARANGAYS,ALL LOTS,TRANS LOADING STATION BRGY.,A11,Agricultural - A11,3.0
raw,"RDO No. 76 - Victorias City, Negros Occidental is composed of the followin",,,1ST,,,ALL OTHERS BARANGAYS,ALL LOTS,TRANS LOADING STATION BRGY.,A12,Agricultural - A12,10.0
raw,"RDO No. 76 - Victorias City, Negros Occidental is composed of the followin",,,1ST,,,ALL OTHERS BARANGAYS,ALL LOTS,TRANS LOADING STATION BRGY.,A14,Agricultural - A14,5.0
raw,"RDO No. 76 - Victorias City, Negros Occidental is composed of the followin",,,1ST,,,ALL OTHERS BARANGAYS,ALL LOTS,TRANS LOADING STATION BRGY.,A15,Agricultural - A15,2.0
raw,"RDO No. 76 - Victorias City, Negros Occidental is composed of the followin",,,1ST,,,ALL OTHERS BARANGAYS,ALL LOTS,TRANS LOADING STATION BRGY.,A16,Agricultural - A16,7.0
raw,"RDO No. 76 - Victorias City, Negros Occidental is composed of the followin",,,1ST,,,ALL OTHERS BARANGAYS,ALL LOTS,TRANS LOADING STATION BRGY.,A17,Agricultural - A17,30.0
raw,"RDO No. 76 - Victorias City, Negros Occidental is composed of the followin",,,1ST,,,ALL OTHERS BARANGAYS,ALL LOTS,TRANS LOADING STATION BRGY.,A24,Agricultural - A24,5.0
