region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
Zonal Values - Revenue Region 12 - Bacolod City,"RDO NO. 77 - Bacolod City, Negros Occidental is composed of the following",,,,,,1   ZONE 1,23RD STREET,LACSON TO GATUSLAO ST,RR,Residential - Regular,2550.0
Zonal Values - Revenue Region 12 - Bacolod City,"RDO NO. 77 - Bacolod City, Negros Occidental is composed of the following",,,,,,1   ZONE 1,23RD STREET,LACSON TO GATUSLAO ST,RR,Residential - Regular,2550.0
Zonal Values - Revenue Region 12 - Bacolod City,"RDO NO. 77 - Bacolod City, Negros Occidental is composed of the following",,,,,,1   ZONE 1,23RD STREET,LACSON TO GATUSLAO ST,RR,Residential - Regular,1400.0
Zonal Values - Revenue Region 12 - Bacolod City,"RDO NO. 77 - Bacolod City, Negros Occidental is composed of the following",,,,,,1   ZONE 1,23RD STREET,LACSON TO GATUSLAO ST,RR,Residential - Regular,280.0
Zonal Values - Revenue Region 12 - Bacolod City,"RDO NO. 77 - Bacolod City, Negros Occidental is composed of the following",,,,,,1   ZONE 1,24TH STREET,CAPITOL SUBD GATUSLAO,RR,Residential - Regular,2300.0
Zonal Values - Revenue Region 12 - Bacolod City,"RDO NO. 77 - Bacolod City, Negros Occidental is composed of the following",,,,,,1   ZONE 1,24TH STREET,LACSON TO GATUSLAO,RR,Residential - Regular,2550.0
Zonal Values - Revenue Region 12 - Bacolod City,"RDO NO. 77 - Bacolod City, Negros Occidental is composed of the following",,,,,,1   ZONE 1,24TH STREET,CAPITOL SUBD GATUSLAO,RR,Residential - Regular,2300.0
Zonal Values - Revenue Region 12 - Bacolod City,"RDO NO. 77 - Bacolod City, Negros Occidental is composed of the following",,,,,,1   ZONE 1,24TH STREET,LACSON TO GATUSLAO,RR,Residential - Regular,2550.0
Zonal Values - Revenue Region 12 - Bacolod City,"RDO NO. 77 - Bacolod City, Negros Occidental is composed of the following",,,,,,1   ZONE 1,24TH STREET,CAPITOL SUBD GATUSLAO,RR,Residential - Regular,1500.0
Zonal Values - Revenue Region 12 - Bacolod City,"RDO NO. 77 - Bacolod City, Negros Occidental is composed of the following",,,,,,1   ZONE 1,24TH STREET,LACSON TO GATUSLAO,RR,Residential - Regular,1400.0
Zonal Values - Revenue Region 12 - Bacolod City,"RDO NO. 77 - Bacolod City, Negros Occidental is composed of the following",,,,,,1   ZONE 1,24TH STREET,CAPITOL SUBD GATUSLAO,RR,Residential - Regular,150.0
Zonal Values - Revenue Region 12 - Bacolod City,"RDO NO. 77 - Bacolod City, Negros Occidental is composed of the following",,,,,,1   ZONE 1,24TH STREET,LACSON TO GATUSLAO,RR,Residential - Regular,280.0
Zonal Values - Revenue Region 12 - Bacolod City,"RDO NO. 77 - Bacolod City, Negros Occidental is composed of the following",,,,,,1   ZONE 1,25TH ST,LACSON TO GATUSLAO,RR,Residential - Regular,280.0
Zonal Values - Revenue Region 12 - Bacolod City,"RDO NO. 77 - Bacolod City, Negros Occidental is composed of the following",,,,,,1   ZONE 1,25TH STREET,LACSON TO GATUSLAO,RR,Residential - Regular,2550.0
Zonal Values - Revenue Region 12 - Bacolod City,"RDO NO. 77 - Bacolod City, Negros Occidental is composed of the following",,,,,,1   ZONE 1,25TH STREET,CAPITOL SUBD GATUSLAO,RR,Residential - Regular,2300.0
Zonal Values - Revenue Region 12 - Bacolod City,"RDO NO. 77 - Bacolod City, Negros Occidental is composed of the following",,,,,,1   ZONE 1,25TH STREET,LACSON TO GATUSLAO,RR,Residential - Regular,2550.0
Zonal Values - Revenue Region 12 - Bacolod City,"RDO NO. 77 - Bacolod City, Negros Occidental is composed of the following",,,,,,1   ZONE 1,25TH STREET,CAPITOL SUBD GATUSLAO,RR,Residential - Regular,2300.0
Zonal Values - Revenue Region 12 - Bacolod City,"RDO NO. 77 - Bacolod City, Negros Occidental is composed of the following",,,,,,1   ZONE 1,25TH STREET,LACSON TO GATUSLAO,RR,Residential - Regular,1400.0
