region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,ANTIPOLO,ANTIPOLO PROPER,,RR,Residential - Regular,110.0
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,ANTIPOLO,ANTIPOLO PROPER,,A1,Agricultural - A1,16.0
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,ANTIPOLO,ANTIPOLO PROPER,INTERIOR LOT,A1,Agricultural - A1,10.5
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,ANTIPOLO,ANTIPOLO PROPER,INTERIOR LOT,A4,Agricultural - A4,9.5
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,ANTIPOLO,ANTIPOLO PROPER,INTERIOR LOT,A5,Agricultural - A5,6.5
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,ANTIPOLO,ANTIPOLO PROPER,INTERIOR LOT,A5,Agricultural - A5,5.0
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,ANTIPOLO,ANTIPOLO PROPER,INTERIOR LOT,A8,Agricultural - A8,3.7
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,ANTIPOLO,ANTIPOLO PROPER,INTERIOR LOT,A8,Agricultural - A8,3.0
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,ANTIPOLO,ANTIPOLO PROPER,INTERIOR LOT,A9,Agricultural - A9,2.1
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,ANTIPOLO,ANTIPOLO PROPER,,RR,Residential - Regular,110.0
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,ANTIPOLO,ANTIPOLO PROPER,,A1,Agricultural - A1,16.0
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,ANTIPOLO,ANTIPOLO PROPER,INTERIOR LOT,A1,Agricultural - A1,10.5
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,ANTIPOLO,ANTIPOLO PROPER,INTERIOR LOT,A4,Agricultural - A4,9.5
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,ANTIPOLO,ANTIPOLO PROPER,INTERIOR LOT,A5,Agricultural - A5,6.5
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,ANTIPOLO,ANTIPOLO PROPER,INTERIOR LOT,A5,Agricultural - A5,5.0
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,ANTIPOLO,ANTIPOLO PROPER,INTERIOR LOT,A8,Agricultural - A8,3.7
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,ANTIPOLO,ANTIPOLO PROPER,INTERIOR LOT,A8,Agricultural - A8,3.0
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,ANTIPOLO,ANTIPOLO PROPER,INTERIOR LOT,A9,Agricultural - A9,2.1
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,BUENAVISTA GIBONG,BUENAVISTA GIBONG PROPER,,RR,Residential - Regular,120.0
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,BUENAVISTA GIBONG,BUENAVISTA GIBONG PROPER,,A1,Agricultural - A1,14.0
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,BUENAVISTA GIBONG,BUENAVISTA GIBONG PROPER,INTERIOR LOT,A1,Agricultural - A1,10.5
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,BUENAVISTA GIBONG,BUENAVISTA GIBONG PROPER,INTERIOR LOT,A4,Agricultural - A4,9.5
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,BUENAVISTA GIBONG,BUENAVISTA GIBONG PROPER,INTERIOR LOT,A4,Agricultural - A4,6.5
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,BUENAVISTA GIBONG,BUENAVISTA GIBONG PROPER,INTERIOR LOT,A5,Agricultural - A5,6.8
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,BUENAVISTA GIBONG,BUENAVISTA GIBONG PROPER,INTERIOR LOT,A5,Agricultural - A5,5.0
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,BUENAVISTA GIBONG,BUENAVISTA GIBONG PROPER,,RR,Residential - Regular,120.0
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,BUENAVISTA GIBONG,BUENAVISTA GIBONG PROPER,,A1,Agricultural - A1,14.0
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,BUENAVISTA GIBONG,BUENAVISTA GIBONG PROPER,INTERIOR LOT,A1,Agricultural - A1,10.5
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,BUENAVISTA GIBONG,BUENAVISTA GIBONG PROPER,INTERIOR LOT,A4,Agricultural - A4,9.5
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,BUENAVISTA GIBONG,BUENAVISTA GIBONG PROPER,INTERIOR LOT,A4,Agricultural - A4,6.5
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,BUENAVISTA GIBONG,BUENAVISTA GIBONG PROPER,INTERIOR LOT,A5,Agricultural - A5,6.8
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,BUENAVISTA GIBONG,BUENAVISTA GIBONG PROPER,INTERIOR LOT,A5,Agricultural - A5,5.0
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,BUENAVISTA RIZAL,BUENAVISTA RIZAL PROPER,,RR,Residential - Regular,90.0
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,BUENAVISTA RIZAL,BUENAVISTA RIZAL PROPER,,A1,Agricultural - A1,10.0
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,BUENAVISTA RIZAL,BUENAVISTA RIZAL PROPER,INTERIOR LOT,A1,Agricultural - A1,7.5
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,BUENAVISTA RIZAL,BUENAVISTA RIZAL PROPER,INTERIOR LOT,A4,Agricultural - A4,7.5
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,BUENAVISTA RIZAL,BUENAVISTA RIZAL PROPER,INTERIOR LOT,A6,Agricultural - A6,3.5
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,BUENAVISTA RIZAL,BUENAVISTA RIZAL PROPER,INTERIOR LOT,A9,Agricultural - A9,2.1
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,BUENAVISTA RIZAL,BUENAVISTA RIZAL PROPER,,RR,Residential - Regular,90.0
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,BUENAVISTA RIZAL,BUENAVISTA RIZAL PROPER,,A1,Agricultural - A1,10.0
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,BUENAVISTA RIZAL,BUENAVISTA RIZAL PROPER,INTERIOR LOT,A1,Agricultural - A1,7.5
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,BUENAVISTA RIZAL,BUENAVISTA RIZAL PROPER,INTERIOR LOT,A4,Agricultural - A4,7.5
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,BUENAVISTA RIZAL,BUENAVISTA RIZAL PROPER,INTERIOR LOT,A6,Agricultural - A6,3.5
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,BUENAVISTA RIZAL,BUENAVISTA RIZAL PROPER,INTERIOR LOT,A9,Agricultural - A9,2.1
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,BURGOS,BURGOS PROPER,,RR,Residential - Regular,90.0
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,BURGOS,BURGOS PROPER,,A1,Agricultural - A1,9.0
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,BURGOS,BURGOS PROPER,INTERIOR LOT,A1,Agricultural - A1,7.5
raw,"RDO No. 78 - Binalbagan, Negros Occidental is composed of the following Ci",,,,,,BURGOS,BURGOS PROPER,INTERIOR LOT,A4,Agricultural - A4,4.0
