region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 79 - Dumaguete City, Negros Oriental is composed of the following",,,,,,1,ALL OTHER STREETS,LUKEWRIGHT - PINILI,RR,Residential - Regular,2750.0
raw,"RDO No. 79 - Dumaguete City, Negros Oriental is composed of the following",,,,,,1,ALL OTHER STREETS,LUKEWRIGHT - PINILI,CR,Commercial - Regular,3250.0
raw,"RDO No. 79 - Dumaguete City, Negros Oriental is composed of the following",,,,,,1,ALL OTHER STREETS,LUKEWRIGHT - PINILI,I,Industrial,3250.0
raw,"RDO No. 79 - Dumaguete City, Negros Oriental is composed of the following",,,,,,1,ALL OTHER STREETS,LUKEWRIGHT - PINILI,X,Special / Other,3000.0
raw,"RDO No. 79 - Dumaguete City, Negros Oriental is composed of the following",,,,,,1,ALL OTHER STREETS,LUKEWRIGHT - PINILI,A,Agricultural,500.0
raw,"RDO No. 79 - Dumaguete City, Negros Oriental is composed of the following",,,,,,1,LUKE WRIGHT,RIZAL AVE. - STA CATALINA,CR,Commercial - Regular,3250.0
raw,"RDO No. 79 - Dumaguete City, Negros Oriental is composed of the following",,,,,,1,PINILI,RIZAL AVE. - STA CATALINA,CR,Commercial - Regular,3250.0
raw,"RDO No. 79 - Dumaguete City, Negros Oriental is composed of the following",,,,,,1,RIZAL AVENUE,LUKEWRIGHT - PINILI,CR,Commercial - Regular,3250.0
raw,"RDO No. 79 - Dumaguete City, Negros Oriental is composed of the following",,,,,,1,SANTA CATALINA,LUKEWRIGHT - PINILI,CR,Commercial - Regular,3250.0
raw,"RDO No. 79 - Dumaguete City, Negros Oriental is composed of the following",,,,,,2,ALL OTHER STREETS,MABINI-GOV. PERDICES AVE.,RR,Residential - Regular,650.0
raw,"RDO No. 79 - Dumaguete City, Negros Oriental is composed of the following",,,,,,2,ALL OTHER STREETS,MABINI-GOV. PERDICES AVE.,CR,Commercial - Regular,4750.0
raw,"RDO No. 79 - Dumaguete City, Negros Oriental is composed of the following",,,,,,2,ALL OTHER STREETS,MABINI-GOV. PERDICES AVE.,I,Industrial,4000.0
raw,"RDO No. 79 - Dumaguete City, Negros Oriental is composed of the following",,,,,,2,ALL OTHER STREETS,MABINI-GOV. PERDICES AVE.,X,Special / Other,3500.0
raw,"RDO No. 79 - Dumaguete City, Negros Oriental is composed of the following",,,,,,2,ALL OTHER STREETS,MABINI-GOV. PERDICES AVE.,A,Agricultural,500.0
raw,"RDO No. 79 - Dumaguete City, Negros Oriental is composed of the following",,,,,,2,GOV. PERDICES AVE.,LUKEWRIGHT - STA. ROSA ST.,CR,Commercial - Regular,8000.0
raw,"RDO No. 79 - Dumaguete City, Negros Oriental is composed of the following",,,,,,2,LUKE WRIGHT ST.,MABINI - GOV. PERDICES AVE,CR,Commercial - Regular,6000.0
raw,"RDO No. 79 - Dumaguete City, Negros Oriental is composed of the following",,,,,,2,MABINI ST.,LUKEWRIGHT-STA. ROSA ST.,CR,Commercial - Regular,6000.0
raw,"RDO No. 79 - Dumaguete City, Negros Oriental is composed of the following",,,,,,2,SANTA ROSA ST.,MABINI-GOV. PERDICES AVE.,CR,Commercial - Regular,8000.0
raw,"RDO No. 79 - Dumaguete City, Negros Oriental is composed of the following",,,,,,3,ALL OTHER STREETS,STA. CATALINA ST.,RR,Residential - Regular,6000.0
raw,"RDO No. 79 - Dumaguete City, Negros Oriental is composed of the following",,,,,,3,ALL OTHER STREETS,STA. CATALINA ST.,CR,Commercial - Regular,6750.0
raw,"RDO No. 79 - Dumaguete City, Negros Oriental is composed of the following",,,,,,3,ALL OTHER STREETS,STA. CATALINA ST.,I,Industrial,6500.0
raw,"RDO No. 79 - Dumaguete City, Negros Oriental is composed of the following",,,,,,3,ALL OTHER STREETS,STA. CATALINA ST.,X,Special / Other,6000.0
raw,"RDO No. 79 - Dumaguete City, Negros Oriental is composed of the following",,,,,,3,ALL OTHER STREETS,STA. CATALINA ST.,A,Agricultural,500.0
raw,"RDO No. 79 - Dumaguete City, Negros Oriental is composed of the following",,,,,,3,COLON ST.,REAL ST - GOV. PERDICES,CR,Commercial - Regular,10000.0
raw,"RDO No. 79 - Dumaguete City, Negros Oriental is composed of the following",,,,,,3,COLON ST.,STA. CATALINA ST.,CR,Commercial - Regular,10000.0
raw,"RDO No. 79 - Dumaguete City, Negros Oriental is composed of the following",,,,,,3,GOV. PERDICES AVE.,STA. ROSA - PINILI ST.,CR,Commercial - Regular,10000.0
raw,"RDO No. 79 - Dumaguete City, Negros Oriental is composed of the following",,,,,,3,GOV. PERDICES AVE.,PINILI - COLON ST.,CR,Commercial - Regular,10000.0
raw,"RDO No. 79 - Dumaguete City, Negros Oriental is composed of the following",,,,,,3,GOV. PERDICES AVE.,COLON - LEGASPI ST.,CR,Commercial - Regular,10000.0
