region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 80 - Mandaue City, Cebu is composed of the following Cities and Mu",,,,,"ASTURIAS, CEBU",AGBANGA,ALL LOTS,,CR,Commercial - Regular,150.0
raw,"RDO No. 80 - Mandaue City, Cebu is composed of the following Cities and Mu",,,,,"ASTURIAS, CEBU",AGBANGA,ALL LOTS,,RR,Residential - Regular,100.0
raw,"RDO No. 80 - Mandaue City, Cebu is composed of the following Cities and Mu",,,,,"ASTURIAS, CEBU",AGBANGA,ALL LOTS,INTERIOR,RR,Residential - Regular,95.0
raw,"RDO No. 80 - Mandaue City, Cebu is composed of the following Cities and Mu",,,,,"ASTURIAS, CEBU",AGBANGA,ALL LOTS,INTERIOR,I,Industrial,125.0
raw,"RDO No. 80 - Mandaue City, Cebu is composed of the following Cities and Mu",,,,,"ASTURIAS, CEBU",AGBANGA,ALL LOTS,INTERIOR,A1,Agricultural - A1,5.0
raw,"RDO No. 80 - Mandaue City, Cebu is composed of the following Cities and Mu",,,,,"ASTURIAS, CEBU",AGBANGA,ALL LOTS,INTERIOR,A2,Agricultural - A2,5.0
raw,"RDO No. 80 - Mandaue City, Cebu is composed of the following Cities and Mu",,,,,"ASTURIAS, CEBU",AGBANGA,ALL LOTS,INTERIOR,A3,Agricultural - A3,5.0
raw,"RDO No. 80 - Mandaue City, Cebu is composed of the following Cities and Mu",,,,,"ASTURIAS, CEBU",AGBANGA,ALL LOTS,INTERIOR,A4,Agricultural - A4,5.0
raw,"RDO No. 80 - Mandaue City, Cebu is composed of the following Cities and Mu",,,,,"ASTURIAS, CEBU",AGBANGA,ALL LOTS,INTERIOR,A6,Agricultural - A6,5.0
raw,"RDO No. 80 - Mandaue City, Cebu is composed of the following Cities and Mu",,,,,"ASTURIAS, CEBU",AGBANGA,ALL LOTS,INTERIOR,A8,Agricultural - A8,5.0
raw,"RDO No. 80 - Mandaue City, Cebu is composed of the following Cities and Mu",,,,,"ASTURIAS, CEBU",AGBANGA,ALL LOTS,INTERIOR,A11,Agricultural - A11,5.0
raw,"RDO No. 80 - Mandaue City, Cebu is composed of the following Cities and Mu",,,,,"ASTURIAS, CEBU",AGBANGA,ALL LOTS,INTERIOR,A12,Agricultural - A12,5.0
raw,"RDO No. 80 - Mandaue City, Cebu is composed of the following Cities and Mu",,,,,"ASTURIAS, CEBU",AGBANGA,ALL LOTS,INTERIOR,A15,Agricultural - A15,5.0
raw,"RDO No. 80 - Mandaue City, Cebu is composed of the following Cities and Mu",,,,,"ASTURIAS, CEBU",AGBANGA,ALL LOTS,INTERIOR,A16,Agricultural - A16,5.0
raw,"RDO No. 80 - Mandaue City, Cebu is composed of the following Cities and Mu",,,,,"ASTURIAS, CEBU",AGBANGA,ALL LOTS,INTERIOR,A17,Agricultural - A17,5.0
raw,"RDO No. 80 - Mandaue City, Cebu is composed of the following Cities and Mu",,,,,"ASTURIAS, CEBU",AGBANGA,ALL LOTS,INTERIOR,A18,Agricultural - A18,5.0
raw,"RDO No. 80 - Mandaue City, Cebu is composed of the following Cities and Mu",,,,,"ASTURIAS, CEBU",AGBANGA,ALL LOTS,INTERIOR,A25,Agricultural - A25,5.0
raw,"RDO No. 80 - Mandaue City, Cebu is composed of the following Cities and Mu",,,,,"ASTURIAS, CEBU",AGBANGA,ALL LOTS,INTERIOR,A26,Agricultural - A26,5.0
raw,"RDO No. 80 - Mandaue City, Cebu is composed of the following Cities and Mu",,,,,"ASTURIAS, CEBU",AGBANGA,ALL LOTS,INTERIOR,A29,Agricultural - A29,5.0
raw,"RDO No. 80 - Mandaue City, Cebu is composed of the following Cities and Mu",,,,,"ASTURIAS, CEBU",AGBANGA,ALL LOTS,INTERIOR,A36,Agricultural - A36,5.0
raw,"RDO No. 80 - Mandaue City, Cebu is composed of the following Cities and Mu",,,,,"ASTURIAS, CEBU",AGBANGA,ALL LOTS,INTERIOR,A38,Agricultural - A38,5.0
