region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,ADLAWON,ALL AREAS,,RR,Residential - Regular,225.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,ADLAWON,ALL AREAS,,A,Agricultural,60.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,AGSUNGOT,ALL AREAS,,RR,Residential - Regular,225.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,AGSUNGOT,ALL AREAS,,A,Agricultural,60.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,1ST ST,,RR,Residential - Regular,1800.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,2ND ST,,RR,Residential - Regular,1700.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,3RD ST,,RR,Residential - Regular,1700.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,4TH ST,,RR,Residential - Regular,1700.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,ALL OTHER STREETS,ADJ TO M VILLA RES,RR,Residential - Regular,1000.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,ALL OTHER STREETS,ADJ TO M VILLA RES,CR,Commercial - Regular,3000.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,ALL OTHER SUBDIVISIONS,ADJ TO M VILLA RES,RR,Residential - Regular,1950.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,AMORES SUBD,,RR,Residential - Regular,1950.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,EDISON ST,SALINAS DRIVE-STEPHENSON,RR,Residential - Regular,1850.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,FIRST ST LAPU-LAPU ST,SALINAS DRIVE-STEPHENSON,RR,Residential - Regular,1800.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,FULTON ST,SALINAS DRIVE-STEPHENSON,RR,Residential - Regular,1950.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,GOV. CUENCO AVE,JUAN LUNA - MAHIGA BRIDGE,CR,Commercial - Regular,6250.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,GOV. CUENCO AVE,JUAN LUNA - MAHIGA BRIDGE,RR,Residential - Regular,4400.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,LA GUARDIA,JUAN LUNA - MAHIGA BRIDGE,RR,Residential - Regular,1950.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,LA GUARDIA EXT,JUAN LUNA - MAHIGA BRIDGE,RR,Residential - Regular,1600.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,MARCONI ST,FULTON STREET,RR,Residential - Regular,1850.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,PASTRANO SUBD,FULTON STREET,RR,Residential - Regular,1850.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,PC HILLS,FULTON STREET,RR,Residential - Regular,1850.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,ROAD TO BUSAY,SALINAS-CEBU PLAZA,RR,Residential - Regular,3100.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,ROAD TO BUSAY,SALINAS-CEBU PLAZA,CR,Commercial - Regular,4500.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,ROAD TO BUSAY,CEBU PLAZA-EGGLINGS,RR,Residential - Regular,1850.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,ROAD TO CMP LAPULAPU,CEBU PLAZA-EGGLINGS,RR,Residential - Regular,2600.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,SALINAS DRIVE,CEBU PLAZA-EGGLINGS,RR,Residential - Regular,3200.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,SALINAS DRIVE EXT,CEBU PLAZA-EGGLINGS,RR,Residential - Regular,2500.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,SAN ANTONIO VILL  I,CEBU PLAZA-EGGLINGS,RR,Residential - Regular,1850.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,SAN ANTONIO VILL  II,CEBU PLAZA-EGGLINGS,RR,Residential - Regular,1850.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,SAN MIGUEL ST,CEBU PLAZA-EGGLINGS,RR,Residential - Regular,1900.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,SITIO BACA,,RR,Residential - Regular,1750.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,SITIO CALBARYO,,RR,Residential - Regular,1000.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,SITIO MAHAYAHAY,,RR,Residential - Regular,1750.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,SITIO PANABANG,,RR,Residential - Regular,1000.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,SITIO PLAZA,,RR,Residential - Regular,1250.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,ST. JAMES ST,CEBU PLAZA-EGGLINGS,RR,Residential - Regular,1550.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,ST. LAURENCE EXT,SITIO UCMA - ECIMHA,RR,Residential - Regular,1550.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,ST. LAURENCE ST,CEBU PLAZA-EGGLINGS,RR,Residential - Regular,1800.0
raw,"RDO NO. 81 - Cebu City, North",,1997-04-24,,,,APAS,STEPHENSON ST,SITIO UCMA - ECIMHA,RR,Residential - Regular,1850.0
