region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO NO. 82 - Cebu City, South",,,,,,BABAG II,ALL NEW SUBDIVISION,WITHIN SUBURBAN AREAS 1ST CLASS,RR,Residential - Regular,3700.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BABAG II,ALL NEW SUBDIVISION,WITHIN SUBURBAN AREAS (SOCIALIZED),RR,Residential - Regular,2400.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BABAG II,ALL NEW SUBDIVISION,WITHIN SUBURBAN AREAS 1ST CLASS,RR,Residential - Regular,3700.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BABAG II,ALL NEW SUBDIVISION,WITHIN SUBURBAN AREAS (SOCIALIZED),RR,Residential - Regular,2400.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BABAG II,ALL OTHER STREETS,WITHIN SUBURBAN AREAS (SOCIALIZED),RR,Residential - Regular,700.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BABAG II,ALL OTHER STREETS,WITHIN SUBURBAN AREAS (SOCIALIZED),A50,Agricultural - A50,200.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BABAG II,ALL OTHER STREETS,WITHIN SUBURBAN AREAS (SOCIALIZED),RR,Residential - Regular,700.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BABAG II,ALL OTHER STREETS,WITHIN SUBURBAN AREAS (SOCIALIZED),A50,Agricultural - A50,200.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BABAG II,RURAL BARANGAY,,RR,Residential - Regular,1200.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BABAG II,RURAL BARANGAY,,RR,Residential - Regular,1200.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BABAG II,SUBURBAN AREAS WITH ROAD,,RR,Residential - Regular,1700.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BABAG II,SUBURBAN AREAS WITH ROAD,,RR,Residential - Regular,1700.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BABAG II,SUBURBAN AREAS WITHOUT ROAD,,RR,Residential - Regular,1300.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BABAG II,SUBURBAN AREAS WITHOUT ROAD,,RR,Residential - Regular,1300.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK PARDO,ALL OTHER STREETS,BDRY BASAK-SAN NICHOLAS,RR,Residential - Regular,3100.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK PARDO,ALL OTHER STREETS,BDRY BASAK-SAN NICHOLAS,CR,Commercial - Regular,6700.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK PARDO,ALL OTHER STREETS,BDRY BASAK-SAN NICHOLAS,RR,Residential - Regular,2350.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK PARDO,ALL OTHER STREETS,BDRY BASAK-SAN NICHOLAS,CR,Commercial - Regular,5000.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK PARDO,ALL OTHER STREETS,BDRY BASAK-SAN NICHOLAS,RR,Residential - Regular,3100.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK PARDO,ALL OTHER STREETS,BDRY BASAK-SAN NICHOLAS,CR,Commercial - Regular,6700.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK PARDO,ALL OTHER STREETS,BDRY BASAK-SAN NICHOLAS,RR,Residential - Regular,2350.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK PARDO,ALL OTHER STREETS,BDRY BASAK-SAN NICHOLAS,CR,Commercial - Regular,5000.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK PARDO,ALL UNNAMED SUBDIVISIONS,BDRY BASAK-SAN NICHOLAS,RR,Residential - Regular,4000.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK PARDO,ALL UNNAMED SUBDIVISIONS,BDRY BASAK-SAN NICHOLAS,RR,Residential - Regular,2450.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK PARDO,ALL UNNAMED SUBDIVISIONS,BDRY BASAK-SAN NICHOLAS,RR,Residential - Regular,4000.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK PARDO,ALL UNNAMED SUBDIVISIONS,BDRY BASAK-SAN NICHOLAS,RR,Residential - Regular,2450.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK PARDO,E. SABELLANO ST.,BDRY BASAK-SAN NICHOLAS,RR,Residential - Regular,3900.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK PARDO,E. SABELLANO ST.,BDRY BASAK-SAN NICHOLAS,RR,Residential - Regular,2500.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK PARDO,E. SABELLANO ST.,BDRY BASAK-SAN NICHOLAS,RR,Residential - Regular,3900.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK PARDO,E. SABELLANO ST.,BDRY BASAK-SAN NICHOLAS,RR,Residential - Regular,2500.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK PARDO,FAIRVIEW VILLAGE SUBD.,HOLY CROSS-BDRY BASAK SAN NICOLAS,RR,Residential - Regular,4400.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK PARDO,FAIRVIEW VILLAGE SUBD.,HOLY CROSS-BDRY BASAK,RR,Residential - Regular,2500.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK PARDO,FAIRVIEW VILLAGE SUBD.,HOLY CROSS-BDRY BASAK SAN NICOLAS,RR,Residential - Regular,4400.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK PARDO,FAIRVIEW VILLAGE SUBD.,HOLY CROSS-BDRY BASAK,RR,Residential - Regular,2500.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK PARDO,N BACALSO AVE,GREYHOUND-HOLY CROSS,CR,Commercial - Regular,7000.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK PARDO,N BACALSO AVE,GREYHOUND-HOLY CROSS,CR,Commercial - Regular,5000.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK PARDO,N BACALSO AVE,GREYHOUND-HOLY CROSS,CR,Commercial - Regular,7000.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK PARDO,N BACALSO AVE,GREYHOUND-HOLY CROSS,CR,Commercial - Regular,5000.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK PARDO,N. BACALSO AVE.,HOLY CROSS-BDRY BASAK SAN NICOLAS,CR,Commercial - Regular,7100.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK PARDO,N. BACALSO AVE.,HOLY CROSS-BDRY BASAK,CR,Commercial - Regular,5000.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK PARDO,N. BACALSO AVE.,HOLY CROSS-BDRY BASAK SAN NICOLAS,CR,Commercial - Regular,7100.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK PARDO,N. BACALSO AVE.,HOLY CROSS-BDRY BASAK,CR,Commercial - Regular,5000.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK PARDO,OLD PHIL RAILWAY,BDRY BASAK SAN NICHOLAS-,RR,Residential - Regular,2600.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK PARDO,OLD PHIL RAILWAY,BDRY BASAK SAN NICHOLAS-,RR,Residential - Regular,2600.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK PARDO,OLD PHIL RAILWAY(RIZAL AVE EXT),BDRY BASAK SAN NICHOLAS-BDRY KINASANG-AN,RR,Residential - Regular,4000.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK PARDO,OLD PHIL RAILWAY(RIZAL AVE EXT),BDRY BASAK SAN NICHOLAS-BDRY KINASANG-AN,RR,Residential - Regular,4000.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK SAN NICOLAS,AGUILA ST,LEMON ST.-MACOPA ST.,RR,Residential - Regular,3900.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK SAN NICOLAS,AGUILA ST,LEMON ST.-MACOPA ST.,RR,Residential - Regular,2350.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK SAN NICOLAS,AGUILA ST,LEMON ST.-MACOPA ST.,RR,Residential - Regular,3900.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK SAN NICOLAS,AGUILA ST,LEMON ST.-MACOPA ST.,RR,Residential - Regular,2350.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK SAN NICOLAS,ALIMOKON ST,AVOCADO,RR,Residential - Regular,3900.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK SAN NICOLAS,ALIMOKON ST,AVOCADO,RR,Residential - Regular,2350.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK SAN NICOLAS,ALIMOKON ST,AVOCADO,RR,Residential - Regular,3900.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK SAN NICOLAS,ALIMOKON ST,AVOCADO,RR,Residential - Regular,2350.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK SAN NICOLAS,ALL OTHER STREETS,GSIS COMPOUND,RR,Residential - Regular,4000.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK SAN NICOLAS,ALL OTHER STREETS,GSIS COMPOUND,CR,Commercial - Regular,6500.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK SAN NICOLAS,ALL OTHER STREETS,GSIS COMPOUND,RR,Residential - Regular,2500.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK SAN NICOLAS,ALL OTHER STREETS,GSIS COMPOUND,CR,Commercial - Regular,4000.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK SAN NICOLAS,ALL OTHER STREETS,GSIS COMPOUND,RR,Residential - Regular,4000.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK SAN NICOLAS,ALL OTHER STREETS,GSIS COMPOUND,CR,Commercial - Regular,6500.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK SAN NICOLAS,ALL OTHER STREETS,GSIS COMPOUND,RR,Residential - Regular,2500.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK SAN NICOLAS,ALL OTHER STREETS,GSIS COMPOUND,CR,Commercial - Regular,4000.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK SAN NICOLAS,AVOCADO ST,GANSIANG-N BACALSO,RR,Residential - Regular,4000.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK SAN NICOLAS,AVOCADO ST,GANSIANG-N BACALSO,RR,Residential - Regular,2500.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK SAN NICOLAS,AVOCADO ST,GANSIANG-N BACALSO,RR,Residential - Regular,4000.0
raw,"RDO NO. 82 - Cebu City, South",,,,,,BASAK SAN NICOLAS,AVOCADO ST,GANSIANG-N BACALSO,RR,Residential - Regular,2500.0
