region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 83 - Talisay City, Cebu is composed of the following Cities and Mu",032-2020,"December 3, 2020",1ST,CEBU,ALCANTARA,CABADIANGAN,AGRICULTURAL LAND,SALAGMAYA WEST,A6,Agricultural - A6,75.0
raw,"RDO No. 83 - Talisay City, Cebu is composed of the following Cities and Mu",032-2020,"December 3, 2020",1ST,CEBU,ALCANTARA,CABADIANGAN,AGRICULTURAL LAND,SALAGMAYA WEST,A15,Agricultural - A15,35.0
raw,"RDO No. 83 - Talisay City, Cebu is composed of the following Cities and Mu",032-2020,"December 3, 2020",1ST,CEBU,ALCANTARA,CABADIANGAN,AGRICULTURAL LAND,SALAGMAYA WEST,A12,Agricultural - A12,35.0
raw,"RDO No. 83 - Talisay City, Cebu is composed of the following Cities and Mu",032-2020,"December 3, 2020",1ST,CEBU,ALCANTARA,CABADIANGAN,AGRICULTURAL LAND,SALAGMAYA WEST,A50,Agricultural - A50,30.0
raw,"RDO No. 83 - Talisay City, Cebu is composed of the following Cities and Mu",032-2020,"December 3, 2020",1ST,CEBU,ALCANTARA,CABADIANGAN,ALL LOTS,LAWAAN SOUTH-MANGA NORTH-,RR,Residential - Regular,650.0
raw,"RDO No. 83 - Talisay City, Cebu is composed of the following Cities and Mu",032-2020,"December 3, 2020",1ST,CEBU,ALCANTARA,CABADIANGAN,ALL LOTS,SALAGMAYA WEST,CR,Commercial - Regular,845.0
raw,"RDO No. 83 - Talisay City, Cebu is composed of the following Cities and Mu",032-2020,"December 3, 2020",1ST,CEBU,ALCANTARA,CABADIANGAN,ALL LOTS,SALAGMAYA WEST,A4,Agricultural - A4,110.0
raw,"RDO No. 83 - Talisay City, Cebu is composed of the following Cities and Mu",032-2020,"December 3, 2020",1ST,CEBU,ALCANTARA,CABADIANGAN,ALL LOTS,SALAGMAYA WEST,A16,Agricultural - A16,75.0
raw,"RDO No. 83 - Talisay City, Cebu is composed of the following Cities and Mu",032-2020,"December 3, 2020",1ST,CEBU,ALCANTARA,CABADIANGAN,ALL LOTS,SALAGMAYA WEST,2,2,35.0
raw,"RDO No. 83 - Talisay City, Cebu is composed of the following Cities and Mu",032-2020,"December 3, 2020",1ST,CEBU,ALCANTARA,CABADIANGAN,ALL LOTS,SALAGMAYA WEST,3,3,75.0
raw,"RDO No. 83 - Talisay City, Cebu is composed of the following Cities and Mu",,,,,ALCANTARA,CABADIANGAN,ALL LOTS,LAWAAN SOUTH-MANGA,A50,Agricultural - A50,17.0
raw,"RDO No. 83 - Talisay City, Cebu is composed of the following Cities and Mu",032-2020,"December 3, 2020",1ST,CEBU,ALCANTARA,CABIL-ISAN,AGRICULTURAL LAND,PALANAS WEST,A4,Agricultural - A4,110.0
raw,"RDO No. 83 - Talisay City, Cebu is composed of the following Cities and Mu",032-2020,"December 3, 2020",1ST,CEBU,ALCANTARA,CABIL-ISAN,AGRICULTURAL LAND,PALANAS WEST,A16,Agricultural - A16,75.0
raw,"RDO No. 83 - Talisay City, Cebu is composed of the following Cities and Mu",032-2020,"December 3, 2020",1ST,CEBU,ALCANTARA,CABIL-ISAN,AGRICULTURAL LAND,PALANAS WEST,A6,Agricultural - A6,75.0
raw,"RDO No. 83 - Talisay City, Cebu is composed of the following Cities and Mu",032-2020,"December 3, 2020",1ST,CEBU,ALCANTARA,CABIL-ISAN,AGRICULTURAL LAND,PALANAS WEST,A15,Agricultural - A15,35.0
raw,"RDO No. 83 - Talisay City, Cebu is composed of the following Cities and Mu",032-2020,"December 3, 2020",1ST,CEBU,ALCANTARA,CABIL-ISAN,AGRICULTURAL LAND,PALANAS WEST,A12,Agricultural - A12,35.0
raw,"RDO No. 83 - Talisay City, Cebu is composed of the following Cities and Mu",032-2020,"December 3, 2020",1ST,CEBU,ALCANTARA,CABIL-ISAN,AGRICULTURAL LAND,PALANAS WEST,A50,Agricultural - A50,30.0
