region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 86 - Borongan City, Eastern Samar  is composed of the following Ci",,3/31/2019,1ST,,ARTECHE,AGUINALDO,ALL LOTS,ALONG THE ROAD,CR,Commercial - Regular,350.0
raw,"RDO No. 86 - Borongan City, Eastern Samar  is composed of the following Ci",,3/31/2019,1ST,,ARTECHE,AGUINALDO,ALL LOTS,ALONG THE ROAD,RR,Residential - Regular,250.0
raw,"RDO No. 86 - Borongan City, Eastern Samar  is composed of the following Ci",,3/31/2019,1ST,,ARTECHE,AGUINALDO,ALL LOTS,ALONG THE ROAD,X,Special / Other,300.0
raw,"RDO No. 86 - Borongan City, Eastern Samar  is composed of the following Ci",,3/31/2019,1ST,,ARTECHE,AGUINALDO,ALL LOTS,ALONG THE ROAD,I,Industrial,300.0
raw,"RDO No. 86 - Borongan City, Eastern Samar  is composed of the following Ci",,3/31/2019,1ST,,ARTECHE,AGUINALDO,ALL LOTS,INTERIOR,RR,Residential - Regular,200.0
raw,"RDO No. 86 - Borongan City, Eastern Samar  is composed of the following Ci",,3/31/2019,1ST,,ARTECHE,AGUINALDO,ALL LOTS,INTERIOR,A1,Agricultural - A1,20.0
raw,"RDO No. 86 - Borongan City, Eastern Samar  is composed of the following Ci",,3/31/2019,1ST,,ARTECHE,AGUINALDO,ALL LOTS,INTERIOR,A2,Agricultural - A2,10.0
raw,"RDO No. 86 - Borongan City, Eastern Samar  is composed of the following Ci",,3/31/2019,1ST,,ARTECHE,AGUINALDO,ALL LOTS,INTERIOR,A3,Agricultural - A3,5.0
raw,"RDO No. 86 - Borongan City, Eastern Samar  is composed of the following Ci",,3/31/2019,1ST,,ARTECHE,AGUINALDO,ALL LOTS,INTERIOR,A4,Agricultural - A4,20.0
raw,"RDO No. 86 - Borongan City, Eastern Samar  is composed of the following Ci",,3/31/2019,1ST,,ARTECHE,AGUINALDO,ALL LOTS,INTERIOR,A6,Agricultural - A6,8.0
raw,"RDO No. 86 - Borongan City, Eastern Samar  is composed of the following Ci",,3/31/2019,1ST,,ARTECHE,AGUINALDO,ALL LOTS,INTERIOR,A7,Agricultural - A7,5.0
raw,"RDO No. 86 - Borongan City, Eastern Samar  is composed of the following Ci",,3/31/2019,1ST,,ARTECHE,AGUINALDO,ALL LOTS,INTERIOR,A8,Agricultural - A8,5.0
raw,"RDO No. 86 - Borongan City, Eastern Samar  is composed of the following Ci",,3/31/2019,1ST,,ARTECHE,AGUINALDO,ALL LOTS,INTERIOR,A10,Agricultural - A10,5.0
raw,"RDO No. 86 - Borongan City, Eastern Samar  is composed of the following Ci",,3/31/2019,1ST,,ARTECHE,AGUINALDO,ALL LOTS,INTERIOR,A16,Agricultural - A16,8.0
raw,"RDO No. 86 - Borongan City, Eastern Samar  is composed of the following Ci",,3/31/2019,1ST,,ARTECHE,AGUINALDO,ALL LOTS,INTERIOR,A24,Agricultural - A24,5.0
raw,"RDO No. 86 - Borongan City, Eastern Samar  is composed of the following Ci",,3/31/2019,1ST,,ARTECHE,AGUINALDO,ALL LOTS,INTERIOR,A25,Agricultural - A25,8.0
