region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,RDO NO. 87- CATBALOGAN CITY is composed of the following Cities/Municipal,,,,,,ALL OTHER BARANGAYS,,ABOVE,RR,Residential - Regular,200.0
raw,RDO NO. 87- CATBALOGAN CITY is composed of the following Cities/Municipal,,,,,,ALL OTHER BARANGAYS,,UNCEMENTED ROAD,RR,Residential - Regular,130.0
raw,RDO NO. 87- CATBALOGAN CITY is composed of the following Cities/Municipal,,,,,,ALL OTHER BARANGAYS,,FROM ROAD,RR,Residential - Regular,75.0
raw,RDO NO. 87- CATBALOGAN CITY is composed of the following Cities/Municipal,,,,,,ALL OTHER BARANGAYS,,ROAD,RR,Residential - Regular,55.0
raw,RDO NO. 87- CATBALOGAN CITY is composed of the following Cities/Municipal,,,,,,BAGACAY,MAHARLIKA HIGHWAY,RC CEM - BDRY CARAYMAN,RR,Residential - Regular,500.0
raw,RDO NO. 87- CATBALOGAN CITY is composed of the following Cities/Municipal,,,,,,CALBAYOG PROPER,ALL OTHER STREETS,CITY ENGR - BGY NIJAGA BR,RR,Residential - Regular,500.0
raw,RDO NO. 87- CATBALOGAN CITY is composed of the following Cities/Municipal,,,,,,CALBAYOG PROPER,ALL OTHER STREETS,CITY ENGR - BGY NIJAGA BR,CR,Commercial - Regular,1000.0
raw,RDO NO. 87- CATBALOGAN CITY is composed of the following Cities/Municipal,,,,,,CALBAYOG PROPER,BUGALLON ST,UMBRIA - PAJARITO STS,CR,Commercial - Regular,3375.0
raw,RDO NO. 87- CATBALOGAN CITY is composed of the following Cities/Municipal,,,,,,CALBAYOG PROPER,BUGALLON ST,UMBRIA - WESTSIDE RUEDA,CR,Commercial - Regular,3125.0
raw,RDO NO. 87- CATBALOGAN CITY is composed of the following Cities/Municipal,,,,,,CALBAYOG PROPER,BUGALLON ST,FR. ASIS TO RAMA ST,RR,Residential - Regular,1500.0
raw,RDO NO. 87- CATBALOGAN CITY is composed of the following Cities/Municipal,,,,,,CALBAYOG PROPER,BUGALLON ST,RAMA ST - PIDO ST,RR,Residential - Regular,1900.0
raw,RDO NO. 87- CATBALOGAN CITY is composed of the following Cities/Municipal,,,,,,CALBAYOG PROPER,BUGALLON ST,RIVER - UMBRIA ST,RR,Residential - Regular,1500.0
raw,RDO NO. 87- CATBALOGAN CITY is composed of the following Cities/Municipal,,,,,,CALBAYOG PROPER,BUGALLON ST,RIVER - UMBRIA ST,RR,Residential - Regular,1400.0
raw,RDO NO. 87- CATBALOGAN CITY is composed of the following Cities/Municipal,,,,,,CALBAYOG PROPER,BUGALLON ST,FR. BURGOS TO PIDO ST,RR,Residential - Regular,1650.0
raw,RDO NO. 87- CATBALOGAN CITY is composed of the following Cities/Municipal,,,,,,CALBAYOG PROPER,BUGALLON ST,FR. BURGOS TO PIDO ST,RR,Residential - Regular,1650.0
raw,RDO NO. 87- CATBALOGAN CITY is composed of the following Cities/Municipal,,,,,,CALBAYOG PROPER,BUGALLON ST,TO THE SEASHORE,RR,Residential - Regular,1650.0
raw,RDO NO. 87- CATBALOGAN CITY is composed of the following Cities/Municipal,,,,,,CALBAYOG PROPER,BUGALLON ST,TO THE SEASHORE,RR,Residential - Regular,1650.0
raw,RDO NO. 87- CATBALOGAN CITY is composed of the following Cities/Municipal,,,,,,CALBAYOG PROPER,BUGALLON ST,TO RIGHT OF HOSP. SITE,RR,Residential - Regular,1250.0
raw,RDO NO. 87- CATBALOGAN CITY is composed of the following Cities/Municipal,,,,,,CALBAYOG PROPER,BUGALLON ST,N COR. OF CITY ENGR OFF,RR,Residential - Regular,650.0
raw,RDO NO. 87- CATBALOGAN CITY is composed of the following Cities/Municipal,,,,,,CALBAYOG PROPER,BUGALLON ST,CITY ENGR - CULVERT RD,RR,Residential - Regular,500.0
raw,RDO NO. 87- CATBALOGAN CITY is composed of the following Cities/Municipal,,,,,,CALBAYOG PROPER,BUGALLON ST,CITY ENGR - BGY NIJAGA BR,RR,Residential - Regular,400.0
raw,RDO NO. 87- CATBALOGAN CITY is composed of the following Cities/Municipal,,,,,,CALBAYOG PROPER,GELERA ST,CALBAYOG RIVER-GOMEZ ST,CR,Commercial - Regular,5500.0
raw,RDO NO. 87- CATBALOGAN CITY is composed of the following Cities/Municipal,,,,,,CALBAYOG PROPER,GELERA ST,-  RECLAMATION AREA,CR,Commercial - Regular,4500.0
raw,RDO NO. 87- CATBALOGAN CITY is composed of the following Cities/Municipal,,,,,,CALBAYOG PROPER,GELERA ST,N COR. OF CITY ENGR OFF,RR,Residential - Regular,650.0
