region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
Quick Links - Zonal Values - Revenue Region 14 - Tacloban City,"RDO No. 89 - Ormoc City, Leyte is composed of the following City/Municipal",,,,LEYTE,,ORMOC CITY PROPER,AGUA DULCE,JUNCTION AVILES-AGUA DULCE,RR,Residential - Regular,2350.0
Quick Links - Zonal Values - Revenue Region 14 - Tacloban City,"RDO No. 89 - Ormoc City, Leyte is composed of the following City/Municipal",,,,,,ORMOC CITY PROPER,AGUA DULCE,JUNCTION AVILES-AGUA DULCE,RR,Residential - Regular,1100.0
Quick Links - Zonal Values - Revenue Region 14 - Tacloban City,"RDO No. 89 - Ormoc City, Leyte is composed of the following City/Municipal",,,,LEYTE,,ORMOC CITY PROPER,AGUA DULCE,JUNCTION AVILES-AGUA DULCE,RR,Residential - Regular,2350.0
Quick Links - Zonal Values - Revenue Region 14 - Tacloban City,"RDO No. 89 - Ormoc City, Leyte is composed of the following City/Municipal",,,,,,ORMOC CITY PROPER,AGUA DULCE,JUNCTION AVILES-AGUA DULCE,RR,Residential - Regular,1100.0
Quick Links - Zonal Values - Revenue Region 14 - Tacloban City,"RDO No. 89 - Ormoc City, Leyte is composed of the following City/Municipal",,,,LEYTE,,ORMOC CITY PROPER,ARRADAZA,AVILES-CARLOS TAN,RR,Residential - Regular,2450.0
Quick Links - Zonal Values - Revenue Region 14 - Tacloban City,"RDO No. 89 - Ormoc City, Leyte is composed of the following City/Municipal",,,,,,ORMOC CITY PROPER,ARRADAZA,AVILES-CARLOS TAN,RR,Residential - Regular,1100.0
Quick Links - Zonal Values - Revenue Region 14 - Tacloban City,"RDO No. 89 - Ormoc City, Leyte is composed of the following City/Municipal",,,,LEYTE,,ORMOC CITY PROPER,ARRADAZA,AVILES-CARLOS TAN,RR,Residential - Regular,2450.0
Quick Links - Zonal Values - Revenue Region 14 - Tacloban City,"RDO No. 89 - Ormoc City, Leyte is composed of the following City/Municipal",,,,,,ORMOC CITY PROPER,ARRADAZA,AVILES-CARLOS TAN,RR,Residential - Regular,1100.0
Quick Links - Zonal Values - Revenue Region 14 - Tacloban City,"RDO No. 89 - Ormoc City, Leyte is composed of the following City/Municipal",,,,LEYTE,,ORMOC CITY PROPER,AVILES,FOOT OF ALEGREA BR-NAVARRO,CR,Commercial - Regular,5550.0
Quick Links - Zonal Values - Revenue Region 14 - Tacloban City,"RDO No. 89 - Ormoc City, Leyte is composed of the following City/Municipal",,,,LEYTE,,ORMOC CITY PROPER,AVILES,J NAVARRO-FOOT BR OF PARDON,CR,Commercial - Regular,5800.0
Quick Links - Zonal Values - Revenue Region 14 - Tacloban City,"RDO No. 89 - Ormoc City, Leyte is composed of the following City/Municipal",,,,,,ORMOC CITY PROPER,AVILES,FOOT OF ALEGRAI BR-NAVARRO,CR,Commercial - Regular,2500.0
Quick Links - Zonal Values - Revenue Region 14 - Tacloban City,"RDO No. 89 - Ormoc City, Leyte is composed of the following City/Municipal",,,,,,ORMOC CITY PROPER,AVILES,J NAVARRO-FOOT BR OF PARDON,CR,Commercial - Regular,2000.0
Quick Links - Zonal Values - Revenue Region 14 - Tacloban City,"RDO No. 89 - Ormoc City, Leyte is composed of the following City/Municipal",,,,LEYTE,,ORMOC CITY PROPER,AVILES,FOOT OF ALEGREA BR-NAVARRO,CR,Commercial - Regular,5550.0
Quick Links - Zonal Values - Revenue Region 14 - Tacloban City,"RDO No. 89 - Ormoc City, Leyte is composed of the following City/Municipal",,,,LEYTE,,ORMOC CITY PROPER,AVILES,J NAVARRO-FOOT BR OF PARDON,CR,Commercial - Regular,5800.0
Quick Links - Zonal Values - Revenue Region 14 - Tacloban City,"RDO No. 89 - Ormoc City, Leyte is composed of the following City/Municipal",,,,,,ORMOC CITY PROPER,AVILES,FOOT OF ALEGRAI BR-NAVARRO,CR,Commercial - Regular,2500.0
Quick Links - Zonal Values - Revenue Region 14 - Tacloban City,"RDO No. 89 - Ormoc City, Leyte is composed of the following City/Municipal",,,,,,ORMOC CITY PROPER,AVILES,J NAVARRO-FOOT BR OF PARDON,CR,Commercial - Regular,2000.0
Quick Links - Zonal Values - Revenue Region 14 - Tacloban City,"RDO No. 89 - Ormoc City, Leyte is composed of the following City/Municipal",,,,LEYTE,,ORMOC CITY PROPER,BONIFACIO,FOOT OF PIER-OSMENA,CR,Commercial - Regular,5600.0
Quick Links - Zonal Values - Revenue Region 14 - Tacloban City,"RDO No. 89 - Ormoc City, Leyte is composed of the following City/Municipal",,,,LEYTE,,ORMOC CITY PROPER,BONIFACIO,OSMENA-HERMOSILLA DR,RR,Residential - Regular,2450.0
Quick Links - Zonal Values - Revenue Region 14 - Tacloban City,"RDO No. 89 - Ormoc City, Leyte is composed of the following City/Municipal",,,,,,ORMOC CITY PROPER,BONIFACIO,FOOT OF PIER-OSMENA,CR,Commercial - Regular,2600.0
Quick Links - Zonal Values - Revenue Region 14 - Tacloban City,"RDO No. 89 - Ormoc City, Leyte is composed of the following City/Municipal",,,,,,ORMOC CITY PROPER,BONIFACIO,OSMENA-HERMOSILLA DR,RR,Residential - Regular,950.0
Quick Links - Zonal Values - Revenue Region 14 - Tacloban City,"RDO No. 89 - Ormoc City, Leyte is composed of the following City/Municipal",,,,LEYTE,,ORMOC CITY PROPER,BONIFACIO,FOOT OF PIER-OSMENA,CR,Commercial - Regular,5600.0
Quick Links - Zonal Values - Revenue Region 14 - Tacloban City,"RDO No. 89 - Ormoc City, Leyte is composed of the following City/Municipal",,,,LEYTE,,ORMOC CITY PROPER,BONIFACIO,OSMENA-HERMOSILLA DR,RR,Residential - Regular,2450.0
Quick Links - Zonal Values - Revenue Region 14 - Tacloban City,"RDO No. 89 - Ormoc City, Leyte is composed of the following City/Municipal",,,,,,ORMOC CITY PROPER,BONIFACIO,FOOT OF PIER-OSMENA,CR,Commercial - Regular,2600.0
Quick Links - Zonal Values - Revenue Region 14 - Tacloban City,"RDO No. 89 - Ormoc City, Leyte is composed of the following City/Municipal",,,,,,ORMOC CITY PROPER,BONIFACIO,OSMENA-HERMOSILLA DR,RR,Residential - Regular,950.0
Quick Links - Zonal Values - Revenue Region 14 - Tacloban City,"RDO No. 89 - Ormoc City, Leyte is composed of the following City/Municipal",,,,LEYTE,,ORMOC CITY PROPER,BURGOS,JUAN LUNA-NAVARRO,CR,Commercial - Regular,4850.0
Quick Links - Zonal Values - Revenue Region 14 - Tacloban City,"RDO No. 89 - Ormoc City, Leyte is composed of the following City/Municipal",,,,,,ORMOC CITY PROPER,BURGOS,JUAN LUNA-NAVARRO,CR,Commercial - Regular,1550.0
Quick Links - Zonal Values - Revenue Region 14 - Tacloban City,"RDO No. 89 - Ormoc City, Leyte is composed of the following City/Municipal",,,,LEYTE,,ORMOC CITY PROPER,BURGOS,JUAN LUNA-NAVARRO,CR,Commercial - Regular,4850.0
Quick Links - Zonal Values - Revenue Region 14 - Tacloban City,"RDO No. 89 - Ormoc City, Leyte is composed of the following City/Municipal",,,,,,ORMOC CITY PROPER,BURGOS,JUAN LUNA-NAVARRO,CR,Commercial - Regular,1550.0
Quick Links - Zonal Values - Revenue Region 14 - Tacloban City,"RDO No. 89 - Ormoc City, Leyte is composed of the following City/Municipal",,,,LEYTE,,ORMOC CITY PROPER,C HERMOSILLA DRIVE,REAL-RIZAL,RR,Residential - Regular,2000.0
Quick Links - Zonal Values - Revenue Region 14 - Tacloban City,"RDO No. 89 - Ormoc City, Leyte is composed of the following City/Municipal",,,,LEYTE,,ORMOC CITY PROPER,C HERMOSILLA DRIVE,RIZAL EXT-CARLOS TAN(NW SIDE),RR,Residential - Regular,950.0
