region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 9 - La Trinidad, Benguet is composed of the following Municipalit",,,,,ATOK,,TUBLAY ATOK BDRY.-,ALONG HALSEMA NATIONAL RD,RR,Residential - Regular,160.0
raw,"RDO No. 9 - La Trinidad, Benguet is composed of the following Municipalit",,,,,ATOK,NOYONOY GATE,BALANGABANG - BONGLO,ALONG HALSEMA NATIONAL RD,RR,Residential - Regular,160.0
raw,"RDO No. 9 - La Trinidad, Benguet is composed of the following Municipalit",,,,,ATOK,NOYONOY GATE,BATAN JUNCTION-SAYANGAN,ALONG HALSEMA NATIONAL RD,RR,Residential - Regular,250.0
raw,"RDO No. 9 - La Trinidad, Benguet is composed of the following Municipalit",,2002-12-28,,,ATOK,PAOAY,ALL LOTS,,RR,Residential - Regular,120.0
raw,"RDO No. 9 - La Trinidad, Benguet is composed of the following Municipalit",,,,,ATOK,PAOAY JUNCTION,ADOYONAN PROPER,ALONG ADOYONAN ROAD,RR,Residential - Regular,100.0
raw,"RDO No. 9 - La Trinidad, Benguet is composed of the following Municipalit",,,,,ATOK,PAOAY JUNCTION,ALL OTHER STREETS,ALONG LOBO ROAD,RR,Residential - Regular,80.0
raw,"RDO No. 9 - La Trinidad, Benguet is composed of the following Municipalit",,,,,ATOK,PAOAY JUNCTION,ALL OTHER STREETS,ALONG NATIONAL ROAD,CR,Commercial - Regular,600.0
raw,"RDO No. 9 - La Trinidad, Benguet is composed of the following Municipalit",,,,,ATOK,PAOAY JUNCTION,ALL OTHER STREETS,ALONG PROVINCIAL ROAD,CR,Commercial - Regular,300.0
raw,"RDO No. 9 - La Trinidad, Benguet is composed of the following Municipalit",,,,,ATOK,PAOAY JUNCTION,ALL OTHER STREETS,ALONG BARANGAY ROAD,CR,Commercial - Regular,200.0
raw,"RDO No. 9 - La Trinidad, Benguet is composed of the following Municipalit",,,,,ATOK,PAOAY JUNCTION,ALL OTHER STREETS,ALONG BARANGAY ROAD,A1,Agricultural - A1,6.0
raw,"RDO No. 9 - La Trinidad, Benguet is composed of the following Municipalit",,,,,ATOK,PAOAY JUNCTION,ALL OTHER STREETS,ALONG BARANGAY ROAD,A2,Agricultural - A2,4.0
raw,"RDO No. 9 - La Trinidad, Benguet is composed of the following Municipalit",,,,,ATOK,PAOAY JUNCTION,ALL OTHER STREETS,ALONG BARANGAY ROAD,A3,Agricultural - A3,3.0
raw,"RDO No. 9 - La Trinidad, Benguet is composed of the following Municipalit",,,,,ATOK,PAOAY JUNCTION,ALL OTHER STREETS,ALONG BARANGAY ROAD,A4,Agricultural - A4,8.0
raw,"RDO No. 9 - La Trinidad, Benguet is composed of the following Municipalit",,,,,ATOK,PAOAY JUNCTION,ALL OTHER STREETS,ALONG BARANGAY ROAD,A5,Agricultural - A5,5.0
