region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO NO. 90 - Maasin City, Southern Leyte is composed of the following City",,,,SOUTHERN LEYTE,,ABGAO,DEMETERIO,T OPPUS - WHARF,CR,Commercial - Regular,6000.0
raw,"RDO NO. 90 - Maasin City, Southern Leyte is composed of the following City",,,,SOUTHERN LEYTE,,ABGAO,DEMETERIO,T OPPUS - KANGLEON,RR,Residential - Regular,5250.0
raw,"RDO NO. 90 - Maasin City, Southern Leyte is composed of the following City",,,,SOUTHERN LEYTE,,ABGAO,GONZALES,TUBURAN CREEK -,RR,Residential - Regular,3500.0
raw,"RDO NO. 90 - Maasin City, Southern Leyte is composed of the following City",,,,SOUTHERN LEYTE,,ABGAO,GONZALES,PROVINCIAL HOSPITAL,A4,Agricultural - A4,45.0
raw,"RDO NO. 90 - Maasin City, Southern Leyte is composed of the following City",,,,SOUTHERN LEYTE,,ABGAO,GONZALES,PROVINCIAL HOSPITAL,A49,Agricultural - A49,25.0
raw,"RDO NO. 90 - Maasin City, Southern Leyte is composed of the following City",,,,SOUTHERN LEYTE,,ABGAO,GONZALES,PROVINCIAL HOSPITAL,A50,Agricultural - A50,30.0
raw,"RDO NO. 90 - Maasin City, Southern Leyte is composed of the following City",,,,SOUTHERN LEYTE,,ABGAO,HOSPITAL,PROVINCIAL HOSPITAL,X,Special / Other,6000.0
raw,"RDO NO. 90 - Maasin City, Southern Leyte is composed of the following City",,,,SOUTHERN LEYTE,,ABGAO,KANGLEON,TUBURAN CREEK- PANAL (CALDERON),CR,Commercial - Regular,5500.0
raw,"RDO NO. 90 - Maasin City, Southern Leyte is composed of the following City",,,,SOUTHERN LEYTE,,ABGAO,KANGLEON,PANAL (CALDERON) -ALCANTARA,CR,Commercial - Regular,5500.0
raw,"RDO NO. 90 - Maasin City, Southern Leyte is composed of the following City",,,,SOUTHERN LEYTE,,ABGAO,KANGLEON,INTERIOR (20 METERS FROM NAT'L RD.),RR,Residential - Regular,4500.0
raw,"RDO NO. 90 - Maasin City, Southern Leyte is composed of the following City",,,,SOUTHERN LEYTE,,ABGAO,KANGLEON,INTERIOR (20 METERS FROM NAT'L RD.),A4,Agricultural - A4,45.0
raw,"RDO NO. 90 - Maasin City, Southern Leyte is composed of the following City",,,,SOUTHERN LEYTE,,ABGAO,KANGLEON,INTERIOR (20 METERS FROM NAT'L RD.),A49,Agricultural - A49,25.0
raw,"RDO NO. 90 - Maasin City, Southern Leyte is composed of the following City",,,,SOUTHERN LEYTE,,ABGAO,KANGLEON,INTERIOR (20 METERS FROM NAT'L RD.),A50,Agricultural - A50,30.0
raw,"RDO NO. 90 - Maasin City, Southern Leyte is composed of the following City",,,,SOUTHERN LEYTE,,ABGAO,PLARIDEL,KANGLEON- GONZALES,RR,Residential - Regular,3500.0
raw,"RDO NO. 90 - Maasin City, Southern Leyte is composed of the following City",,,,SOUTHERN LEYTE,,ABGAO,PLARIDEL,KANGLEON- T. OPPUS,CR,Commercial - Regular,4500.0
raw,"RDO NO. 90 - Maasin City, Southern Leyte is composed of the following City",,,,SOUTHERN LEYTE,,ABGAO,SAN VICENTE,KANGLEON - T. OPPUS,RR,Residential - Regular,3500.0
raw,"RDO NO. 90 - Maasin City, Southern Leyte is composed of the following City",,,,SOUTHERN LEYTE,,ABGAO,T OPPUS,TUBURAN CREEK - ALCANTARA,RR,Residential - Regular,5000.0
raw,"RDO NO. 90 - Maasin City, Southern Leyte is composed of the following City",,,,SOUTHERN LEYTE,,ABGAO,T OPPUS,TUBURAN CREEK - PANAL,CR,Commercial - Regular,6000.0
raw,"RDO NO. 90 - Maasin City, Southern Leyte is composed of the following City",,,,SOUTHERN LEYTE,,ABGAO,T OPPUS,PANAL (CALDERON) -ALCANTARA,CR,Commercial - Regular,5500.0
raw,"RDO NO. 90 - Maasin City, Southern Leyte is composed of the following City",,,,SOUTHERN LEYTE,,ABGAO,T OPPUS,DEMETRIO- PANAL (CALDERON),CR,Commercial - Regular,6000.0
raw,"RDO NO. 90 - Maasin City, Southern Leyte is composed of the following City",,,,SOUTHERN LEYTE,,ABGAO,T OPPUS,DEMETRIO- PANAL (CALDERON),RR,Residential - Regular,5000.0
raw,"RDO NO. 90 - Maasin City, Southern Leyte is composed of the following City",,,,SOUTHERN LEYTE,,ACACIA,ALL LOTS,14 KMS FROM POBLACION,RR,Residential - Regular,550.0
raw,"RDO NO. 90 - Maasin City, Southern Leyte is composed of the following City",,,,SOUTHERN LEYTE,,ACACIA,LOTS ALONG NAT'L HI-WAY,30 MTRS FROM HI-WAY (1ST STRIP),A1,Agricultural - A1,36.25
raw,"RDO NO. 90 - Maasin City, Southern Leyte is composed of the following City",,,,SOUTHERN LEYTE,,ACACIA,LOTS ALONG NAT'L HI-WAY,30 MTRS FROM HI-WAY (1ST STRIP),A2,Agricultural - A2,35.0
