region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO NO. 92 - Pagadian City, Zamboanga Del Sur is composed of the following",,,,ZAMBOANGA DEL SUR,AURORA,ALL OTHER BARANGAY,ALL LOTS,,RR,Residential - Regular,75.0
raw,"RDO NO. 92 - Pagadian City, Zamboanga Del Sur is composed of the following",,,,ZAMBOANGA DEL SUR,AURORA,ALL OTHER BARANGAY,ALL LOTS,,CR,Commercial - Regular,100.0
raw,"RDO NO. 92 - Pagadian City, Zamboanga Del Sur is composed of the following",,,,ZAMBOANGA DEL SUR,AURORA,ALL OTHER BARANGAY,ALL LOTS,,I,Industrial,100.0
raw,"RDO NO. 92 - Pagadian City, Zamboanga Del Sur is composed of the following",,,,ZAMBOANGA DEL SUR,AURORA,ALL OTHER BARANGAY,ALL LOTS,,A1,Agricultural - A1,9.0
raw,"RDO NO. 92 - Pagadian City, Zamboanga Del Sur is composed of the following",,,,ZAMBOANGA DEL SUR,AURORA,ALL OTHER BARANGAY,ALL LOTS,,A2,Agricultural - A2,5.0
raw,"RDO NO. 92 - Pagadian City, Zamboanga Del Sur is composed of the following",,,,ZAMBOANGA DEL SUR,AURORA,ALL OTHER BARANGAY,ALL LOTS,,A3,Agricultural - A3,2.0
raw,"RDO NO. 92 - Pagadian City, Zamboanga Del Sur is composed of the following",,,,ZAMBOANGA DEL SUR,AURORA,ALL OTHER BARANGAY,ALL LOTS,,A4,Agricultural - A4,5.0
raw,"RDO NO. 92 - Pagadian City, Zamboanga Del Sur is composed of the following",,,,ZAMBOANGA DEL SUR,AURORA,ALL OTHER BARANGAY,ALL LOTS,,A6,Agricultural - A6,7.5
raw,"RDO NO. 92 - Pagadian City, Zamboanga Del Sur is composed of the following",,,,ZAMBOANGA DEL SUR,AURORA,ALL OTHER BARANGAY,ALL LOTS,,A14,Agricultural - A14,2.5
raw,"RDO NO. 92 - Pagadian City, Zamboanga Del Sur is composed of the following",,,,ZAMBOANGA DEL SUR,AURORA,ALL OTHER BARANGAY,ALL LOTS,,A16,Agricultural - A16,2.0
