region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 93A - Zamboanga City and RDO No. 93B - Zamboanga, Sibugay.",,,,ZAMBOANGA DEL SUR,OF ZAMBOANGA,ARENA BLANCO,ALL LOTS,,CR,Commercial - Regular,350.0
raw,"RDO No. 93A - Zamboanga City and RDO No. 93B - Zamboanga, Sibugay.",,,,ZAMBOANGA DEL SUR,OF ZAMBOANGA,ARENA BLANCO,ALL LOTS,,RR,Residential - Regular,175.0
raw,"RDO No. 93A - Zamboanga City and RDO No. 93B - Zamboanga, Sibugay.",,,,ZAMBOANGA DEL SUR,OF ZAMBOANGA,ARENA BLANCO,ALL LOTS,,GP,General Purpose,70.0
raw,"RDO No. 93A - Zamboanga City and RDO No. 93B - Zamboanga, Sibugay.",,,,ZAMBOANGA DEL SUR,OF ZAMBOANGA,ARENA BLANCO,ALL LOTS,,A50,Agricultural - A50,12.0
raw,"RDO No. 93A - Zamboanga City and RDO No. 93B - Zamboanga, Sibugay.",,,,ZAMBOANGA DEL SUR,OF ZAMBOANGA,ARENA BLANCO,ALL LOTS,INTERIOR LOT,RR,Residential - Regular,95.0
raw,"RDO No. 93A - Zamboanga City and RDO No. 93B - Zamboanga, Sibugay.",,,,ZAMBOANGA DEL SUR,OF ZAMBOANGA,ARENA BLANCO,ALL LOTS,,CR,Commercial - Regular,350.0
raw,"RDO No. 93A - Zamboanga City and RDO No. 93B - Zamboanga, Sibugay.",,,,ZAMBOANGA DEL SUR,OF ZAMBOANGA,ARENA BLANCO,ALL LOTS,,RR,Residential - Regular,175.0
raw,"RDO No. 93A - Zamboanga City and RDO No. 93B - Zamboanga, Sibugay.",,,,ZAMBOANGA DEL SUR,OF ZAMBOANGA,ARENA BLANCO,ALL LOTS,,GP,General Purpose,70.0
raw,"RDO No. 93A - Zamboanga City and RDO No. 93B - Zamboanga, Sibugay.",,,,ZAMBOANGA DEL SUR,OF ZAMBOANGA,ARENA BLANCO,ALL LOTS,,A50,Agricultural - A50,12.0
raw,"RDO No. 93A - Zamboanga City and RDO No. 93B - Zamboanga, Sibugay.",,,,ZAMBOANGA DEL SUR,OF ZAMBOANGA,ARENA BLANCO,ALL LOTS,INTERIOR LOT,RR,Residential - Regular,95.0
raw,"RDO No. 93A - Zamboanga City and RDO No. 93B - Zamboanga, Sibugay.",,,,ZAMBOANGA DEL SUR,OF ZAMBOANGA,AYALA,ALL OTHER SUBDIVISION,INTERIOR LOT,RR,Residential - Regular,550.0
raw,"RDO No. 93A - Zamboanga City and RDO No. 93B - Zamboanga, Sibugay.",,,,ZAMBOANGA DEL SUR,OF ZAMBOANGA,AYALA,ALL OTHER SUBDIVISION,INTERIOR LOT,RR,Residential - Regular,550.0
raw,"RDO No. 93A - Zamboanga City and RDO No. 93B - Zamboanga, Sibugay.",,,,ZAMBOANGA DEL SUR,OF ZAMBOANGA,AYALA,ALL STREETS,,CR,Commercial - Regular,1750.0
raw,"RDO No. 93A - Zamboanga City and RDO No. 93B - Zamboanga, Sibugay.",,,,ZAMBOANGA DEL SUR,OF ZAMBOANGA,AYALA,ALL STREETS,,RR,Residential - Regular,575.0
raw,"RDO No. 93A - Zamboanga City and RDO No. 93B - Zamboanga, Sibugay.",,,,ZAMBOANGA DEL SUR,OF ZAMBOANGA,AYALA,ALL STREETS,,I,Industrial,745.0
raw,"RDO No. 93A - Zamboanga City and RDO No. 93B - Zamboanga, Sibugay.",,,,ZAMBOANGA DEL SUR,OF ZAMBOANGA,AYALA,ALL STREETS,,A50,Agricultural - A50,19.0
raw,"RDO No. 93A - Zamboanga City and RDO No. 93B - Zamboanga, Sibugay.",,,,ZAMBOANGA DEL SUR,OF ZAMBOANGA,AYALA,ALL STREETS,INTERIOR LOT,RR,Residential - Regular,263.0
raw,"RDO No. 93A - Zamboanga City and RDO No. 93B - Zamboanga, Sibugay.",,,,ZAMBOANGA DEL SUR,OF ZAMBOANGA,AYALA,ALL STREETS,,CR,Commercial - Regular,1750.0
raw,"RDO No. 93A - Zamboanga City and RDO No. 93B - Zamboanga, Sibugay.",,,,ZAMBOANGA DEL SUR,OF ZAMBOANGA,AYALA,ALL STREETS,,RR,Residential - Regular,575.0
raw,"RDO No. 93A - Zamboanga City and RDO No. 93B - Zamboanga, Sibugay.",,,,ZAMBOANGA DEL SUR,OF ZAMBOANGA,AYALA,ALL STREETS,,I,Industrial,745.0
