region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,CR,Commercial - Regular,450.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,RR,Residential - Regular,225.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,I,Industrial,350.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A1,Agricultural - A1,14.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A2,Agricultural - A2,10.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A3,Agricultural - A3,9.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A4,Agricultural - A4,9.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A11,Agricultural - A11,9.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A14,Agricultural - A14,9.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A16,Agricultural - A16,9.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A19,Agricultural - A19,11.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A23,Agricultural - A23,11.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A31,Agricultural - A31,180.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A32,Agricultural - A32,90.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A33,Agricultural - A33,90.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A35,Agricultural - A35,12.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A36,Agricultural - A36,9.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A44,Agricultural - A44,11.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A48,Agricultural - A48,10.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A49,Agricultural - A49,8.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A50,Agricultural - A50,7.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,CR,Commercial - Regular,450.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,RR,Residential - Regular,225.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,I,Industrial,350.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A1,Agricultural - A1,14.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A2,Agricultural - A2,10.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A3,Agricultural - A3,9.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A4,Agricultural - A4,9.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A11,Agricultural - A11,9.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A14,Agricultural - A14,9.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A16,Agricultural - A16,9.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A19,Agricultural - A19,11.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A23,Agricultural - A23,11.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A31,Agricultural - A31,180.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A32,Agricultural - A32,90.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A33,Agricultural - A33,90.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A35,Agricultural - A35,12.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A36,Agricultural - A36,9.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A44,Agricultural - A44,11.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A48,Agricultural - A48,10.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A49,Agricultural - A49,8.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,"Sept. 18, 2019",1ST,ZAMBOANGA SIBUGAY,ALICIA,ALEGRIA,ALL LOTS,,A50,Agricultural - A50,7.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,,,ZAMBOANGA DEL SUR,ALICIA,ALL OTHER BARANGAY,ALL LOTS,,RR,Residential - Regular,30.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,,,ZAMBOANGA DEL SUR,ALICIA,ALL OTHER BARANGAY,ALL LOTS,,CR,Commercial - Regular,50.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,,,ZAMBOANGA DEL SUR,ALICIA,ALL OTHER BARANGAY,ALL LOTS,,I,Industrial,50.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,,,ZAMBOANGA DEL SUR,ALICIA,ALL OTHER BARANGAY,ALL LOTS,,A1,Agricultural - A1,7.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,,,ZAMBOANGA DEL SUR,ALICIA,ALL OTHER BARANGAY,ALL LOTS,,A2,Agricultural - A2,3.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,,,ZAMBOANGA DEL SUR,ALICIA,ALL OTHER BARANGAY,ALL LOTS,,A3,Agricultural - A3,1.5
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,,,ZAMBOANGA DEL SUR,ALICIA,ALL OTHER BARANGAY,ALL LOTS,,A4,Agricultural - A4,4.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,,,ZAMBOANGA DEL SUR,ALICIA,ALL OTHER BARANGAY,ALL LOTS,,A6,Agricultural - A6,6.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,,,ZAMBOANGA DEL SUR,ALICIA,ALL OTHER BARANGAY,ALL LOTS,,A14,Agricultural - A14,2.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,,,ZAMBOANGA DEL SUR,ALICIA,ALL OTHER BARANGAY,ALL LOTS,,A16,Agricultural - A16,1.5
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,,,ZAMBOANGA DEL SUR,ALICIA,ALL OTHER BARANGAY,ALL LOTS,,A19,Agricultural - A19,4.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,,,ZAMBOANGA DEL SUR,ALICIA,ALL OTHER BARANGAY,ALL LOTS,,A23,Agricultural - A23,6.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,,,ZAMBOANGA DEL SUR,ALICIA,ALL OTHER BARANGAY,ALL LOTS,,A35,Agricultural - A35,6.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,,,ZAMBOANGA DEL SUR,ALICIA,ALL OTHER BARANGAY,ALL LOTS,,A44,Agricultural - A44,5.0
raw,"RDO No. 93A - Zamboanga City, Zamboanga del Sur and RDO No. 93B - Ipil, Zam",,,,ZAMBOANGA DEL SUR,ALICIA,ALL OTHER BARANGAY,ALL LOTS,,A48,Agricultural - A48,4.0
