region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO NO. 94 - Isabela, Basilan is composed of the following Cities & Munici",,"July 20, 2023",1ST,,Akbar Municipality,Caddayan,All Lots,Outer Lot,RR,Residential - Regular,635.0
raw,"RDO NO. 94 - Isabela, Basilan is composed of the following Cities & Munici",,"July 20, 2023",1ST,,Akbar Municipality,Caddayan,All Lots,Inner Lot,RR,Residential - Regular,320.0
raw,"RDO NO. 94 - Isabela, Basilan is composed of the following Cities & Munici",,"July 20, 2023",1ST,,Akbar Municipality,Caddayan,All Lots,Inner Lot,A2,Agricultural - A2,4.0
raw,"RDO NO. 94 - Isabela, Basilan is composed of the following Cities & Munici",,"July 20, 2023",1ST,,Akbar Municipality,Caddayan,All Lots,Inner Lot,A4,Agricultural - A4,4.0
raw,"RDO NO. 94 - Isabela, Basilan is composed of the following Cities & Munici",,"July 20, 2023",1ST,,Akbar Municipality,Caddayan,All Lots,Inner Lot,A5,Agricultural - A5,4.0
raw,"RDO NO. 94 - Isabela, Basilan is composed of the following Cities & Munici",,"July 20, 2023",1ST,,Akbar Municipality,Caddayan,All Lots,Inner Lot,A12,Agricultural - A12,4.0
raw,"RDO NO. 94 - Isabela, Basilan is composed of the following Cities & Munici",,"July 20, 2023",1ST,,Akbar Municipality,Caddayan,All Lots,Inner Lot,A35,Agricultural - A35,6.0
raw,"RDO NO. 94 - Isabela, Basilan is composed of the following Cities & Munici",,"July 20, 2023",1ST,,Akbar Municipality,Caddayan,All Lots,Inner Lot,A50,Agricultural - A50,3.0
raw,"RDO NO. 94 - Isabela, Basilan is composed of the following Cities & Munici",,"July 20, 2023",1ST,,Akbar Municipality,Linongan,All Lots,Outer Lot,RR,Residential - Regular,635.0
raw,"RDO NO. 94 - Isabela, Basilan is composed of the following Cities & Munici",,"July 20, 2023",1ST,,Akbar Municipality,Linongan,All Lots,Inner Lot,RR,Residential - Regular,320.0
raw,"RDO NO. 94 - Isabela, Basilan is composed of the following Cities & Munici",,"July 20, 2023",1ST,,Akbar Municipality,Linongan,All Lots,Inner Lot,A2,Agricultural - A2,3.0
raw,"RDO NO. 94 - Isabela, Basilan is composed of the following Cities & Munici",,"July 20, 2023",1ST,,Akbar Municipality,Linongan,All Lots,Inner Lot,A4,Agricultural - A4,4.0
raw,"RDO NO. 94 - Isabela, Basilan is composed of the following Cities & Munici",,"July 20, 2023",1ST,,Akbar Municipality,Linongan,All Lots,Inner Lot,A5,Agricultural - A5,4.0
raw,"RDO NO. 94 - Isabela, Basilan is composed of the following Cities & Munici",,"July 20, 2023",1ST,,Akbar Municipality,Linongan,All Lots,Inner Lot,A12,Agricultural - A12,4.0
raw,"RDO NO. 94 - Isabela, Basilan is composed of the following Cities & Munici",,"July 20, 2023",1ST,,Akbar Municipality,Linongan,All Lots,Inner Lot,A35,Agricultural - A35,6.0
