region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO NO. 96 - Bongao, Tawi-Tawi is composed of the following Municipalities",,,,,BONGAO,BONGAO POBLACION,AWWAL,DATU HALUN RIDJIKI BLVD.,CR,Commercial - Regular,600.0
raw,"RDO NO. 96 - Bongao, Tawi-Tawi is composed of the following Municipalities",,,,,BONGAO,BONGAO POBLACION,AWWAL,DATU HALUN RIDJIKI BLVD.,CR,Commercial - Regular,450.0
raw,"RDO NO. 96 - Bongao, Tawi-Tawi is composed of the following Municipalities",,,,,BONGAO,BONGAO POBLACION,AWWAL PROPOSED,CORNER PROPOSED ROAD,CR,Commercial - Regular,750.0
raw,"RDO NO. 96 - Bongao, Tawi-Tawi is composed of the following Municipalities",,,,,BONGAO,BONGAO POBLACION,AWWAL PROPOSED,CORNER PROPOSED ROAD,CR,Commercial - Regular,550.0
raw,"RDO NO. 96 - Bongao, Tawi-Tawi is composed of the following Municipalities",,,2ND,TAWI-TAWI,BONGAO,EXTENSION,ALL OTHER ST.,DATU HALUN RIDJIKI BLVD.,CR,Commercial - Regular,1063.0
raw,"RDO NO. 96 - Bongao, Tawi-Tawi is composed of the following Municipalities",,,2ND,TAWI-TAWI,BONGAO,EXTENSION,ALL OTHER ST.,DATU HALUN RIDJIKI BLVD.,GP,General Purpose,148.0
raw,"RDO NO. 96 - Bongao, Tawi-Tawi is composed of the following Municipalities",,,2ND,TAWI-TAWI,BONGAO,EXTENSION,ALL OTHER ST.,DATU HALUN RIDJIKI BLVD.,RR,Residential - Regular,245.0
raw,"RDO NO. 96 - Bongao, Tawi-Tawi is composed of the following Municipalities",,,,,BONGAO,EXTENSION,ALL OTHER ST.,DATU HALUN RIDJIKI BLVD.,CR,Commercial - Regular,600.0
raw,"RDO NO. 96 - Bongao, Tawi-Tawi is composed of the following Municipalities",,,,,BONGAO,EXTENSION,ALL OTHER ST.,DATU HALUN RIDJIKI BLVD.,GP,General Purpose,50.0
raw,"RDO NO. 96 - Bongao, Tawi-Tawi is composed of the following Municipalities",,,,,BONGAO,EXTENSION,ALL OTHER ST.,DATU HALUN RIDJIKI BLVD.,RR,Residential - Regular,100.0
raw,"RDO NO. 96 - Bongao, Tawi-Tawi is composed of the following Municipalities",,,2ND,TAWI-TAWI,BONGAO,EXTENSION,BAGAY,DATU HALUN RIDJIKI BLVD.,CR,Commercial - Regular,1688.0
raw,"RDO NO. 96 - Bongao, Tawi-Tawi is composed of the following Municipalities",,,,,BONGAO,EXTENSION,BAGAY,DATU HALUN RIDJIKI BLVD.,CR,Commercial - Regular,1000.0
raw,"RDO NO. 96 - Bongao, Tawi-Tawi is composed of the following Municipalities",,,,,BONGAO,EXTENSION,BAGAY,DATU HALUN RIDJIKI BLVD.,CR,Commercial - Regular,750.0
raw,"RDO NO. 96 - Bongao, Tawi-Tawi is composed of the following Municipalities",,,2ND,TAWI-TAWI,BONGAO,EXTENSION,BOULEVARD,1ST ST.- BADJAO VILLAGE,RR,Residential - Regular,245.0
raw,"RDO NO. 96 - Bongao, Tawi-Tawi is composed of the following Municipalities",,,,,BONGAO,EXTENSION,BOULEVARD,1ST ST.- BADJAO VILLAGE,RR,Residential - Regular,100.0
