region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BALAGNAN,ALL STREETS,ALONG BARANGAY ROAD*,CR,Commercial - Regular,3000.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BALAGNAN,ALL STREETS,ALONG BARANGAY ROAD*,RR,Residential - Regular,2500.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BALAGNAN,ALL STREETS,INTERIOR LOTS,CR,Commercial - Regular,2500.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BALAGNAN,ALL STREETS,INTERIOR LOTS,RR,Residential - Regular,1500.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BALAGNAN,ALL STREETS,INTERIOR LOTS,A1,Agricultural - A1,200.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BALAGNAN,ALL STREETS,INTERIOR LOTS,A2,Agricultural - A2,180.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BALAGNAN,ALL STREETS,INTERIOR LOTS,A4,Agricultural - A4,150.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BALAGNAN,ALL STREETS,INTERIOR LOTS,A6,Agricultural - A6,140.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BALAGNAN,ALL STREETS,INTERIOR LOTS,A14,Agricultural - A14,130.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BALAGNAN,ALL STREETS,INTERIOR LOTS,A16,Agricultural - A16,140.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BALAGNAN,ALL STREETS,INTERIOR LOTS,A20,Agricultural - A20,135.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BALAGNAN,ALL STREETS,INTERIOR LOTS,A23,Agricultural - A23,150.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BALAGNAN,ALL STREETS,INTERIOR LOTS,A24,Agricultural - A24,120.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BALAGNAN,ALL STREETS,INTERIOR LOTS,A31,Agricultural - A31,180.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BALAGNAN,ALL STREETS,INTERIOR LOTS,A35,Agricultural - A35,130.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BALAGNAN,ALL STREETS,INTERIOR LOTS,A47,Agricultural - A47,120.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BALAGNAN,ALL STREETS,INTERIOR LOTS,A48,Agricultural - A48,120.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BALAGNAN,ALL STREETS,INTERIOR LOTS,A50POULTRY,A50POULTRY,450.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BALAGNAN,ALL STREETS,INTERIOR LOTS,A50,Agricultural - A50,100.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BALIWAGAN,ALL STREETS,ALONG THE NATIONAL ROAD,I,Industrial,5000.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BALIWAGAN,ALL STREETS,ALONG THE NATIONAL ROAD,CR,Commercial - Regular,4000.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BALIWAGAN,ALL STREETS,ALONG THE NATIONAL ROAD,RR,Residential - Regular,3000.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BALIWAGAN,ALL STREETS,ALONG BARANGAY ROAD**,CR,Commercial - Regular,3500.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BALIWAGAN,ALL STREETS,ALONG BARANGAY ROAD**,RR,Residential - Regular,2500.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BALIWAGAN,ALL STREETS,INTERIOR,CR,Commercial - Regular,3200.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BALIWAGAN,ALL STREETS,INTERIOR,RR,Residential - Regular,2000.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BALIWAGAN,ALL STREETS,INTERIOR,A1,Agricultural - A1,500.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BALIWAGAN,ALL STREETS,INTERIOR,A2,Agricultural - A2,400.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BALIWAGAN,ALL STREETS,INTERIOR,A4,Agricultural - A4,500.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BALIWAGAN,ALL STREETS,INTERIOR,A6,Agricultural - A6,400.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BALIWAGAN,ALL STREETS,INTERIOR,A16,Agricultural - A16,450.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BALIWAGAN,ALL STREETS,INTERIOR,A50POULTRY,A50POULTRY,600.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BALIWAGAN,ALL STREETS,INTERIOR,A50,Agricultural - A50,300.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BARANGAY 1*,ALONG NATIONAL HIGHWAY,"PRINCE HYPERMART, NATIONAL HIGHWAY TO RIVERSIDE, QUINCE DE SEPTEMBER ST.",CR,Commercial - Regular,10000.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BARANGAY 1*,BONIFACIO MABINI ST.,"EMILIO JACINTO ST., MIGUEL MUNDO ST., CAILING ST., VALMORES ST., QUINCE DE SEPTEMBER ST., FAUSTINO VEGA ST.",CR,Commercial - Regular,5000.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BARANGAY 1*,BONIFACIO MABINI ST.,"EMILIO JACINTO ST., MIGUEL MUNDO ST., CAILING ST., VALMORES ST., QUINCE DE SEPTEMBER ST., FAUSTINO VEGA ST.",RR,Residential - Regular,3000.0
raw,"RDO NO. 97 - Gingoog City, Misamis Oriental is composed of the following C",012-2023,"April 9, 2023",4TH,: MISAMIS ORIENTAL,BALINGASAG,BARANGAY 1*,LOPEZ JAENA ST.,"EMILIO JACINTO ST., MIGUEL MUNDO ST., CAILING ST., VALMORES ST., QUINCE DE SEPTEMBER ST., FAUSTINO VEGA ST.",CR,Commercial - Regular,5000.0
