region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO NO. 98 - Cagayan De Oro City, Misamis Oriental Is composed of the foll",,7/20/2023,4TH,MISAMIS ORIENTAL,ALONG CITY ROAD,BOLOBOLO / PEDRO SABACULIO,NATIONAL HIGHWAY*,ALONG NATIONAL HIGHWAY,CR,Commercial - Regular,8400.0
raw,"RDO NO. 98 - Cagayan De Oro City, Misamis Oriental Is composed of the foll",,7/20/2023,4TH,MISAMIS ORIENTAL,ALONG CITY ROAD,BOLOBOLO / PEDRO SABACULIO,NATIONAL HIGHWAY*,ALONG NATIONAL HIGHWAY,RR,Residential - Regular,8200.0
raw,"RDO NO. 98 - Cagayan De Oro City, Misamis Oriental Is composed of the foll",,,3RD,MISAMIS ORIENTAL,ALUBIJID,ALL LOTS,APOLINARIO ST,JACINTO ST-A.SANTOS ST,CR,Commercial - Regular,1850.0
raw,"RDO NO. 98 - Cagayan De Oro City, Misamis Oriental Is composed of the foll",,,3RD,MISAMIS ORIENTAL,ALUBIJID,ALL LOTS,APOLINARIO ST,JACINTO ST-A.SANTOS ST,RR,Residential - Regular,1200.0
raw,"RDO NO. 98 - Cagayan De Oro City, Misamis Oriental Is composed of the foll",,,3RD,MISAMIS ORIENTAL,ALUBIJID,ALL LOTS,BALACUIT ST,APOLINARIO ST-BURGOS ST,CR,Commercial - Regular,1600.0
raw,"RDO NO. 98 - Cagayan De Oro City, Misamis Oriental Is composed of the foll",,,3RD,MISAMIS ORIENTAL,ALUBIJID,ALL LOTS,BALACUIT ST,APOLINARIO ST-BURGOS ST,RR,Residential - Regular,1250.0
raw,"RDO NO. 98 - Cagayan De Oro City, Misamis Oriental Is composed of the foll",,,3RD,MISAMIS ORIENTAL,ALUBIJID,ALL LOTS,BONIFACIO ST,FR E. JACINTO ST-MH DEL PILAR ST,CR,Commercial - Regular,1800.0
raw,"RDO NO. 98 - Cagayan De Oro City, Misamis Oriental Is composed of the foll",,,3RD,MISAMIS ORIENTAL,ALUBIJID,ALL LOTS,BONIFACIO ST,FR E. JACINTO ST-MH DEL PILAR ST,RR,Residential - Regular,1350.0
raw,"RDO NO. 98 - Cagayan De Oro City, Misamis Oriental Is composed of the foll",,,3RD,MISAMIS ORIENTAL,ALUBIJID,ALL LOTS,BONIFACIO ST,MH DEL PILAR ST-COLUMAT ST,CR,Commercial - Regular,1650.0
raw,"RDO NO. 98 - Cagayan De Oro City, Misamis Oriental Is composed of the foll",,,3RD,MISAMIS ORIENTAL,ALUBIJID,ALL LOTS,BONIFACIO ST,MH DEL PILAR ST-COLUMAT ST,RR,Residential - Regular,1250.0
raw,"RDO NO. 98 - Cagayan De Oro City, Misamis Oriental Is composed of the foll",,,3RD,MISAMIS ORIENTAL,ALUBIJID,ALL LOTS,BURGOS ST,JACINTO ST-COLUMAT ST,CR,Commercial - Regular,1800.0
raw,"RDO NO. 98 - Cagayan De Oro City, Misamis Oriental Is composed of the foll",,,3RD,MISAMIS ORIENTAL,ALUBIJID,ALL LOTS,BURGOS ST,JACINTO ST-COLUMAT ST,RR,Residential - Regular,1350.0
raw,"RDO NO. 98 - Cagayan De Oro City, Misamis Oriental Is composed of the foll",,,3RD,MISAMIS ORIENTAL,ALUBIJID,ALL LOTS,COLUMAT ST,BONIFACIO ST-BURGOS ST,CR,Commercial - Regular,1800.0
raw,"RDO NO. 98 - Cagayan De Oro City, Misamis Oriental Is composed of the foll",,,3RD,MISAMIS ORIENTAL,ALUBIJID,ALL LOTS,COLUMAT ST,BONIFACIO ST-BURGOS ST,RR,Residential - Regular,1150.0
raw,"RDO NO. 98 - Cagayan De Oro City, Misamis Oriental Is composed of the foll",,,3RD,MISAMIS ORIENTAL,ALUBIJID,ALL LOTS,GALARRITA ST,QUEZON ST-BURGOS ST,CR,Commercial - Regular,2000.0
raw,"RDO NO. 98 - Cagayan De Oro City, Misamis Oriental Is composed of the foll",,,3RD,MISAMIS ORIENTAL,ALUBIJID,ALL LOTS,GALARRITA ST,QUEZON ST-BURGOS ST,RR,Residential - Regular,1550.0
raw,"RDO NO. 98 - Cagayan De Oro City, Misamis Oriental Is composed of the foll",,,3RD,MISAMIS ORIENTAL,ALUBIJID,ALL LOTS,J.A.SANTOS ST,APOLINARIO ST-BURGOS ST,CR,Commercial - Regular,1600.0
raw,"RDO NO. 98 - Cagayan De Oro City, Misamis Oriental Is composed of the foll",,,3RD,MISAMIS ORIENTAL,ALUBIJID,ALL LOTS,J.A.SANTOS ST,APOLINARIO ST-BURGOS ST,RR,Residential - Regular,1300.0
raw,"RDO NO. 98 - Cagayan De Oro City, Misamis Oriental Is composed of the foll",,,3RD,MISAMIS ORIENTAL,ALUBIJID,ALL LOTS,JACINTO ST,APOLINARIO ST-BURGOS ST,CR,Commercial - Regular,1500.0
raw,"RDO NO. 98 - Cagayan De Oro City, Misamis Oriental Is composed of the foll",,,3RD,MISAMIS ORIENTAL,ALUBIJID,ALL LOTS,JACINTO ST,APOLINARIO ST-BURGOS ST,RR,Residential - Regular,1150.0
