region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 99 - Malaybalay City, Bukidnon is compsed of the following Municip",047 - 2022,"Sept. 02, 2022",3RD,BUKIDNON,BAUNGON,ALONG BARANGAY ROAD,ALL BARANGAYS,1ST CLASS**,A50,Agricultural - A50,400.0
raw,"RDO No. 99 - Malaybalay City, Bukidnon is compsed of the following Municip",047 - 2022,"Sept. 02, 2022",3RD,BUKIDNON,BAUNGON,ALONG BARANGAY ROAD,ALL BARANGAYS,2ND CLASS**,A50,Agricultural - A50,360.0
raw,"RDO No. 99 - Malaybalay City, Bukidnon is compsed of the following Municip",047 - 2022,"Sept. 02, 2022",3RD,BUKIDNON,BAUNGON,ALONG BARANGAY ROAD,ALL BARANGAYS,3RD CLASS**,A50,Agricultural - A50,320.0
raw,"RDO No. 99 - Malaybalay City, Bukidnon is compsed of the following Municip",047 - 2022,"Sept. 02, 2022",3RD,BUKIDNON,BAUNGON,ALONG BARANGAY ROAD,ALL BARANGAYS,4TH CLASS**,A50,Agricultural - A50,280.0
raw,"RDO No. 99 - Malaybalay City, Bukidnon is compsed of the following Municip",047 - 2022,"Sept. 02, 2022",3RD,BUKIDNON,BAUNGON,ALONG BARANGAY ROAD,ALL BARANGAYS,5TH CLASS**,A50,Agricultural - A50,240.0
raw,"RDO No. 99 - Malaybalay City, Bukidnon is compsed of the following Municip",047 - 2022,"Sept. 02, 2022",3RD,BUKIDNON,BAUNGON,IMBATUG ( POBLACION),ALL OTHER STREETS,INTERIOR,CR,Commercial - Regular,1300.0
raw,"RDO No. 99 - Malaybalay City, Bukidnon is compsed of the following Municip",047 - 2022,"Sept. 02, 2022",3RD,BUKIDNON,BAUNGON,IMBATUG ( POBLACION),ALL OTHER STREETS,INTERIOR,RR,Residential - Regular,900.0
raw,"RDO No. 99 - Malaybalay City, Bukidnon is compsed of the following Municip",047 - 2022,"Sept. 02, 2022",3RD,BUKIDNON,BAUNGON,IMBATUG ( POBLACION),ALL OTHER STREETS,INTERIOR,RR,Residential - Regular,850.0
raw,"RDO No. 99 - Malaybalay City, Bukidnon is compsed of the following Municip",047 - 2022,"Sept. 02, 2022",3RD,BUKIDNON,BAUNGON,IMBATUG ( POBLACION),BACAS ROAD,INTERIOR,CR,Commercial - Regular,1800.0
raw,"RDO No. 99 - Malaybalay City, Bukidnon is compsed of the following Municip",047 - 2022,"Sept. 02, 2022",3RD,BUKIDNON,BAUNGON,IMBATUG ( POBLACION),BACAS ROAD,INTERIOR,RR,Residential - Regular,1500.0
raw,"RDO No. 99 - Malaybalay City, Bukidnon is compsed of the following Municip",047 - 2022,"Sept. 02, 2022",3RD,BUKIDNON,BAUNGON,IMBATUG ( POBLACION),BACAS ROAD,INTERIOR,RR,Residential - Regular,1200.0
raw,"RDO No. 99 - Malaybalay City, Bukidnon is compsed of the following Municip",047 - 2022,"Sept. 02, 2022",3RD,BUKIDNON,BAUNGON,IMBATUG ( POBLACION),LAHIN ROAD,INTERIOR,CR,Commercial - Regular,1800.0
raw,"RDO No. 99 - Malaybalay City, Bukidnon is compsed of the following Municip",047 - 2022,"Sept. 02, 2022",3RD,BUKIDNON,BAUNGON,IMBATUG ( POBLACION),LAHIN ROAD,INTERIOR,RR,Residential - Regular,1500.0
raw,"RDO No. 99 - Malaybalay City, Bukidnon is compsed of the following Municip",047 - 2022,"Sept. 02, 2022",3RD,BUKIDNON,BAUNGON,IMBATUG ( POBLACION),LAHIN ROAD,INTERIOR,RR,Residential - Regular,1200.0
raw,"RDO No. 99 - Malaybalay City, Bukidnon is compsed of the following Municip",047 - 2022,"Sept. 02, 2022",3RD,BUKIDNON,BAUNGON,IMBATUG ( POBLACION),LAUREL ST,INTERIOR,CR,Commercial - Regular,1800.0
raw,"RDO No. 99 - Malaybalay City, Bukidnon is compsed of the following Municip",047 - 2022,"Sept. 02, 2022",3RD,BUKIDNON,BAUNGON,IMBATUG ( POBLACION),LAUREL ST,INTERIOR,RR,Residential - Regular,1500.0
raw,"RDO No. 99 - Malaybalay City, Bukidnon is compsed of the following Municip",047 - 2022,"Sept. 02, 2022",3RD,BUKIDNON,BAUNGON,IMBATUG ( POBLACION),LAUREL ST,INTERIOR,RR,Residential - Regular,1200.0
raw,"RDO No. 99 - Malaybalay City, Bukidnon is compsed of the following Municip",047 - 2022,"Sept. 02, 2022",3RD,BUKIDNON,BAUNGON,IMBATUG ( POBLACION),LILANGAN ST.,ROXAS - CM RECTO ST.,CR,Commercial - Regular,4000.0
raw,"RDO No. 99 - Malaybalay City, Bukidnon is compsed of the following Municip",047 - 2022,"Sept. 02, 2022",3RD,BUKIDNON,BAUNGON,IMBATUG ( POBLACION),LILANGAN ST.,ROXAS - CM RECTO ST.,RR,Residential - Regular,2300.0
raw,"RDO No. 99 - Malaybalay City, Bukidnon is compsed of the following Municip",047 - 2022,"Sept. 02, 2022",3RD,BUKIDNON,BAUNGON,IMBATUG ( POBLACION),LILANGAN ST.,INTERIOR,RR,Residential - Regular,2000.0
raw,"RDO No. 99 - Malaybalay City, Bukidnon is compsed of the following Municip",047 - 2022,"Sept. 02, 2022",3RD,BUKIDNON,BAUNGON,IMBATUG ( POBLACION),MUNICIPAL ROAD/BARANGAY ROAD,ALONG MUNICIPAL ROAD/BARANGAY ROAD,A1,Agricultural - A1,100.0
raw,"RDO No. 99 - Malaybalay City, Bukidnon is compsed of the following Municip",047 - 2022,"Sept. 02, 2022",3RD,BUKIDNON,BAUNGON,IMBATUG ( POBLACION),MUNICIPAL ROAD/BARANGAY ROAD,ALONG MUNICIPAL ROAD/BARANGAY ROAD,A2,Agricultural - A2,80.0
raw,"RDO No. 99 - Malaybalay City, Bukidnon is compsed of the following Municip",047 - 2022,"Sept. 02, 2022",3RD,BUKIDNON,BAUNGON,IMBATUG ( POBLACION),MUNICIPAL ROAD/BARANGAY ROAD,ALONG MUNICIPAL ROAD/BARANGAY ROAD,A3,Agricultural - A3,50.0
raw,"RDO No. 99 - Malaybalay City, Bukidnon is compsed of the following Municip",047 - 2022,"Sept. 02, 2022",3RD,BUKIDNON,BAUNGON,IMBATUG ( POBLACION),MUNICIPAL ROAD/BARANGAY ROAD,ALONG MUNICIPAL ROAD/BARANGAY ROAD,A5,Agricultural - A5,50.0
raw,"RDO No. 99 - Malaybalay City, Bukidnon is compsed of the following Municip",047 - 2022,"Sept. 02, 2022",3RD,BUKIDNON,BAUNGON,IMBATUG ( POBLACION),MUNICIPAL ROAD/BARANGAY ROAD,ALONG MUNICIPAL ROAD/BARANGAY ROAD,A14,Agricultural - A14,60.0
raw,"RDO No. 99 - Malaybalay City, Bukidnon is compsed of the following Municip",047 - 2022,"Sept. 02, 2022",3RD,BUKIDNON,BAUNGON,IMBATUG ( POBLACION),MUNICIPAL ROAD/BARANGAY ROAD,ALONG MUNICIPAL ROAD/BARANGAY ROAD,A16,Agricultural - A16,60.0
raw,"RDO No. 99 - Malaybalay City, Bukidnon is compsed of the following Municip",047 - 2022,"Sept. 02, 2022",3RD,BUKIDNON,BAUNGON,IMBATUG ( POBLACION),MUNICIPAL ROAD/BARANGAY ROAD,ALONG MUNICIPAL ROAD/BARANGAY ROAD,A18,Agricultural - A18,50.0
raw,"RDO No. 99 - Malaybalay City, Bukidnon is compsed of the following Municip",047 - 2022,"Sept. 02, 2022",3RD,BUKIDNON,BAUNGON,IMBATUG ( POBLACION),MUNICIPAL ROAD/BARANGAY ROAD,ALONG MUNICIPAL ROAD/BARANGAY ROAD,A25,Agricultural - A25,65.0
raw,"RDO No. 99 - Malaybalay City, Bukidnon is compsed of the following Municip",047 - 2022,"Sept. 02, 2022",3RD,BUKIDNON,BAUNGON,IMBATUG ( POBLACION),MUNICIPAL ROAD/BARANGAY ROAD,ALONG MUNICIPAL ROAD/BARANGAY ROAD,A35,Agricultural - A35,50.0
raw,"RDO No. 99 - Malaybalay City, Bukidnon is compsed of the following Municip",047 - 2022,"Sept. 02, 2022",3RD,BUKIDNON,BAUNGON,IMBATUG ( POBLACION),MUNICIPAL ROAD/BARANGAY ROAD,ALONG MUNICIPAL ROAD/BARANGAY ROAD,A50,Agricultural - A50,40.0
raw,"RDO No. 99 - Malaybalay City, Bukidnon is compsed of the following Municip",047 - 2022,"Sept. 02, 2022",3RD,BUKIDNON,BAUNGON,IMBATUG ( POBLACION),MUNICIPAL ROAD/BARANGAY ROAD,INTERIOR,A1,Agricultural - A1,80.0
raw,"RDO No. 99 - Malaybalay City, Bukidnon is compsed of the following Municip",047 - 2022,"Sept. 02, 2022",3RD,BUKIDNON,BAUNGON,IMBATUG ( POBLACION),MUNICIPAL ROAD/BARANGAY ROAD,INTERIOR,A2,Agricultural - A2,60.0
raw,"RDO No. 99 - Malaybalay City, Bukidnon is compsed of the following Municip",047 - 2022,"Sept. 02, 2022",3RD,BUKIDNON,BAUNGON,IMBATUG ( POBLACION),MUNICIPAL ROAD/BARANGAY ROAD,INTERIOR,A3,Agricultural - A3,40.0
